Mult,MultNoRelin,Relin
6149,2644,2874
5245,2543,2530
5391,2586,2979
5540,2693,2915
5414,2641,2938
5430,2662,2830
7251,2736,3054
5286,2588,2903
5668,2636,3035
5404,2637,2863
5714,2590,2816
5395,2604,3018
5622,2588,2940
5338,2654,2641
5196,2538,3312
5350,2563,3091
5591,2607,3359
5618,2573,2899
5392,2632,2880
5520,2621,2687
5390,2636,2862
5585,2608,2920
5459,2674,3225
5350,2564,2723
5461,2551,3222
5218,2581,2867
5698,2608,2640
5577,2620,3121
5663,2620,2692
5203,3272,2864
5606,2675,2706
5423,2595,2851
5606,2603,2940
5526,2587,3202
5434,2614,2782
5166,2703,3192
5630,2595,2899
5349,2566,2944
5216,2639,2979
5513,2624,3035
5252,2548,2678
5662,2535,2810
5569,2627,2836
5547,2598,2962
5307,2555,2916
5364,2709,2671
5527,2582,2674
5418,2619,2686
5636,2515,3111
5208,2565,2875
5557,2806,2866
5822,2680,2716
5374,3183,2874
5539,2764,3053
5402,2673,2947
5609,2689,2885
5417,2687,2815
5310,2629,2982
5531,2656,2889
5308,2684,2980
5505,2760,2901
5612,2598,2975
5386,2737,2623
5664,2676,2950
5478,2528,3092
5522,2686,2871
5381,2618,3031
5626,2624,3036
5559,2612,3330
5436,2594,2729
5514,2602,2889
5321,2594,3449
5684,2660,2861
5662,2628,2981
5524,2592,2815
5533,3111,3252
5598,2611,3063
5639,2648,3022
5844,2649,2820
5519,2700,2985
5711,2562,3068
5460,2592,3131
5285,2793,3016
5506,2632,2930
5338,2677,2894
5617,2616,3023
5665,2583,3237
5600,2632,2917
5502,2628,3159
5427,2686,2932
5590,2728,2969
5498,2669,2619
5561,2587,3062
5586,2622,2889
5520,2613,2940
5571,2654,2757
5455,2606,2781
5749,2606,3056
6058,3208,2759
5751,2691,3066
