Mult,MultNoRelin,Relin
8558,3007,6782
9502,2873,5697
8203,3169,6146
9361,2978,5960
9385,3375,5897
9475,3085,5680
8584,3082,5991
9372,3003,6586
9313,3557,5970
9217,3065,6400
9310,3073,5877
9726,3162,6500
8686,3023,5585
8766,3103,5856
8589,3083,6564
9318,3174,6387
9586,3283,6247
9980,3236,5996
8972,3013,5735
8688,2906,5923
8804,3085,6155
9114,3448,5259
8741,3312,6240
9511,3358,6087
8879,3121,6699
9238,2967,5928
9563,3224,6088
9170,3413,5783
9063,3027,5393
8791,3049,6010
9139,3129,6535
9220,3303,5988
9136,3212,5819
9178,3061,6174
9457,3006,6609
9187,2757,5931
8701,2967,5526
9291,2723,5391
9129,2873,6097
8697,3097,5798
9182,3254,5519
8249,3063,5967
8835,2957,6423
9642,3253,5964
9294,3777,6381
9034,3019,6943
8784,2554,5678
9137,3097,6751
10101,3760,6151
9274,3427,6224
9011,2966,6093
9229,3597,6697
9525,3356,6216
9053,3079,6023
9549,3277,5602
9074,3196,5296
8302,3093,5048
8486,2989,5441
8258,3254,5429
8642,3093,6029
8767,2995,6023
8443,2845,5913
8419,2924,5923
8860,3008,5840
8325,2981,6469
8677,3036,5227
8843,3195,5517
8216,3094,5776
8897,3005,4871
7806,2924,5806
8629,3137,5590
8654,2845,5592
8849,3017,5567
8982,2829,5563
8678,2884,5471
8665,2887,5961
8759,3182,5526
8198,2970,6029
8534,2877,6062
8539,3083,5605
8875,3120,5644
8364,2883,5585
9016,3025,5692
8963,3116,5463
8736,2870,5489
8699,3187,5659
8789,2848,5655
8489,2861,6200
8720,2909,6311
8420,2825,5904
9159,3005,5850
8549,3243,6236
8815,2926,6213
9750,2993,5837
8710,3225,5583
9214,3033,6398
8965,3624,6318
9328,3122,5957
9049,2925,5935
9378,2983,5742
