Mult,MultNoRelin,Relin
35825,9553,25744
33573,9721,26968
34425,9285,26739
33039,8641,27183
35036,8289,24730
31711,8896,27287
34800,8359,26605
32731,9712,25966
34330,8882,23504
31283,8400,26679
33579,8308,22702
33355,8331,26994
32649,9406,22328
31437,10240,22770
32004,8405,24931
31390,8393,26591
31197,8305,25729
33658,9501,22739
32629,8978,24963
32409,8503,23278
31104,9038,23550
33196,8450,23173
32637,8707,23535
32998,9303,28021
31183,8626,23598
30763,8170,22703
34378,8449,25716
32242,8195,23891
30320,8309,26392
34272,8292,22459
34094,9271,24650
34393,8965,23257
30887,8557,22777
32337,8513,26810
31479,8743,24774
30326,8394,24180
34284,8619,22317
31628,9003,22962
33482,8453,24558
31273,8815,23241
31974,9628,25907
30439,9336,22768
33051,8432,23940
33071,8262,22575
32612,8401,23299
31794,8655,27322
31262,9091,25947
31040,9629,24243
34477,8301,23751
34795,8251,25093
31586,8562,25608
36836,8383,25541
32036,8532,23363
31833,8199,25780
30472,8202,23954
34063,8287,25791
32081,8344,22999
32811,8697,24280
31669,8027,22690
30144,8123,26257
33103,8042,21884
30102,8223,22324
29730,8185,22736
32901,9453,26080
33022,8346,26786
30041,8065,22329
32923,8137,23160
30047,8183,21652
32003,8106,24015
29912,8009,21476
29517,8031,21571
29707,8026,22146
29488,8028,21713
30276,8055,22366
29961,8044,21944
29177,8041,23027
62608,9249,22167
30596,8085,22009
29560,8050,22466
30152,8107,21843
30311,8003,22299
29876,8146,21802
29753,7997,21750
29373,8052,22337
29614,7960,22389
30959,8108,22386
30177,8055,21586
29302,8000,21651
29419,8045,21562
29446,8028,21860
29714,7981,22608
29325,7941,21766
29226,8014,21820
29284,8016,22034
29888,8016,21649
30270,8159,22418
29568,8052,21900
29605,7983,21989
29506,7916,21528
29456,8049,28039
