Mult,MultNoRelin,Relin
18788,5935,11804
18589,6378,12490
17318,5975,11752
19864,5771,12758
17626,5847,11752
16677,6062,12074
18154,5630,12025
18185,5656,11701
16957,6533,11554
18295,6584,11659
18015,6213,12771
17507,5667,13052
17089,5659,13175
18646,6507,11953
17008,5739,11457
17384,6265,11465
17782,6090,12113
19011,5646,11697
17878,5656,12267
17551,5811,11224
18083,5799,12991
17163,5544,12719
18082,5572,12540
19822,5876,11284
17968,5727,13434
19207,6718,13761
19840,6578,11922
18067,5845,12976
18499,5869,11651
16895,5490,12027
20263,5679,11442
18484,5909,14328
21296,5977,12640
18124,5758,11847
16868,6178,11153
18535,6810,11239
20396,6494,13638
18154,5771,11286
17328,5637,12339
16691,6086,13369
20906,5627,11342
17282,5861,13689
17153,5757,12081
17320,5662,11710
17148,5652,13421
17724,5790,12373
19774,5974,11123
18004,5777,12172
18276,5732,12457
19377,6346,11885
16767,6167,12443
16920,6570,11243
18191,6574,12606
18401,6235,11612
17891,5601,12473
18192,5720,11733
16996,5675,12463
17568,5677,11974
18861,5655,13667
18455,6343,15492
18313,6158,14557
18862,5785,12313
19808,5970,13666
20229,6050,12391
17585,5747,11256
17886,5769,13312
20338,5968,13227
18135,5724,11571
18923,5905,13831
18298,5653,12693
19983,6059,12083
20950,6705,12491
19890,6238,18749
46609,6129,15643
18939,6120,12777
17235,5793,13549
17832,6152,10806
17070,5554,11456
19860,6073,13751
19093,6215,14296
20493,6132,13234
20511,6292,13031
20856,6540,13168
20009,7012,13167
19756,5807,13993
18190,5591,11346
17623,5632,11763
17988,5693,14493
19301,5970,12643
17584,5743,12450
17662,6426,12016
19845,5686,11237
18255,6368,11587
19395,6429,12020
17203,5622,11624
17202,5657,11413
18624,5882,12770
18612,5871,13019
19594,5511,13474
19034,5593,11767
