Mult,MultNoRelin,Relin
33915,8256,25810
31027,8181,24080
30570,8281,23646
32113,8106,22849
32344,8197,23776
31351,8106,23675
31036,8434,25590
32953,8501,23799
32420,8418,25654
31320,8598,24024
31420,8094,24719
30200,8020,24827
31452,8072,24004
30029,8986,22995
32347,8449,24928
31416,7982,23227
31067,8124,25496
30909,8287,25119
31982,7916,23556
33289,8037,25073
30667,8319,22678
31380,8012,24710
31614,8095,23181
31551,8612,24246
31308,8132,24538
33070,8017,24950
31650,8347,24394
32300,8031,24315
32342,9012,23539
32868,8572,25440
29883,8157,25811
31798,8654,22472
31686,8079,23100
32484,8048,23994
30975,8529,25259
33630,8008,25682
32450,8145,25091
33497,8283,22812
31904,8060,24395
34587,8806,24168
33812,8562,23317
31835,8438,25191
33508,9531,24300
32934,8123,24912
32789,8657,23746
33305,8923,23712
31598,9347,24089
33354,8459,23431
32850,8823,23254
30098,8111,22109
30095,8130,22581
30591,8058,23317
31589,8099,22894
30753,8069,22662
30267,7948,22091
30679,8554,23551
31508,8214,23355
30455,8078,21996
30420,7980,21653
30090,8036,21622
30113,8077,23582
29936,8187,22064
30027,7999,21846
29781,8079,21773
30016,8015,22204
30449,8749,21809
30565,7979,23524
30263,8027,22549
30452,8079,22284
31278,7990,24292
31085,8075,22484
30717,8039,23568
30265,8054,22285
30207,8046,22842
30951,7986,21536
30539,8030,22103
30200,8035,21841
31066,8047,23725
30798,8535,22170
30637,8001,22467
30562,8603,21983
32841,8020,22684
31065,7969,21649
30921,8055,22481
30283,9067,23056
31304,8141,22376
30675,8009,21935
30259,8038,22630
31446,8141,21521
31083,8130,22015
29694,8063,23439
30809,8152,21729
30757,8853,22323
31227,8060,21457
31074,8180,22754
32216,8052,23413
31570,8062,23402
30532,8094,22279
29465,8023,22716
30634,8081,22957
