Mult,MultNoRelin,Relin
8895,3055,5928
9085,2943,5779
8475,2912,5751
8011,2914,5921
8532,2936,5636
8732,3074,5588
8230,3024,6166
8879,3281,5242
8911,5314,6013
8808,3043,5761
8611,3078,5543
8539,3037,5775
8643,3070,5963
8549,2875,5561
8814,3098,5774
8456,3063,6049
8739,3019,6170
9320,2735,5352
7881,2587,5493
8488,2965,6013
9174,2939,5567
8905,3959,5611
8329,2989,5453
8591,4092,5963
8986,3182,6084
9077,3135,5904
9027,2901,5569
9000,2924,5920
9000,3215,5231
8931,3136,5338
8476,3167,5627
8056,3087,6161
8603,2973,6694
8603,3028,5836
8495,3400,5478
9175,2923,5793
8573,2860,7054
8775,2977,5235
8418,3321,7901
8526,2960,5638
9159,3129,5454
8147,3377,6394
8277,3015,5404
8439,3174,6280
8360,3221,5747
8514,3289,5860
8296,3096,5745
8695,3031,5943
8541,3193,5605
8911,3039,6079
8905,3103,5840
8744,3146,6070
9053,3068,5691
8840,3291,6984
9145,3180,5934
8440,2894,5610
9014,3071,5399
9006,3234,5999
8477,3199,5652
9028,2900,6175
8792,3164,5642
8485,2939,6001
8752,2947,5360
8596,2830,5838
8758,3077,6114
8869,3315,5563
8932,3275,6542
9125,3007,5499
9239,3027,7718
8551,3138,5836
8584,3083,5777
8860,3098,6401
8622,2863,5485
8546,3191,5628
8927,2814,5242
8321,2920,5830
8885,2861,5444
8937,2878,5786
8721,3122,5925
9123,3222,6646
8907,3056,5287
8670,3283,5797
8785,2835,5810
9087,3075,5931
8704,2948,6243
8312,3349,6171
8250,3086,6001
9202,2876,5734
8548,2888,6168
8673,3289,6010
8648,3115,5805
9271,3028,5590
8415,3290,5954
10880,2962,5482
8564,2992,5790
8833,3004,6102
9169,3062,4983
8473,3037,6031
8939,3074,5770
9710,2995,5861
