Mult,MultNoRelin,Relin
34626,8408,24383
31492,8161,24989
29898,8048,24230
30035,8101,22425
30601,8137,22630
32933,9939,28657
50307,8365,23467
31816,8425,23513
30517,8376,22437
32504,9679,23201
32546,8107,22523
30190,8165,21821
30402,8080,23111
29549,8231,22114
30558,8220,21993
30698,8047,21878
30283,8018,22584
29613,8058,21521
30076,7972,22035
29889,8062,21869
29421,8103,22769
30410,8001,23120
29922,8064,22034
30085,8018,23289
30015,8524,21841
29149,7929,21918
37281,21191,31464
31032,8024,22166
30053,8179,23648
29914,8567,22859
29901,8138,22137
29804,8035,21999
30431,8026,23669
31559,8812,23181
30820,8013,23120
30586,8026,22079
30260,8042,21993
30090,8089,22861
30147,7999,21872
29782,8092,22675
30243,8075,22190
31546,8233,21926
30030,8026,21596
29822,9030,22183
31695,8825,22163
31255,8085,24433
30724,8014,23532
32095,8101,22532
30093,8514,22011
30195,8023,22660
29938,8040,22258
29492,8420,22899
31066,8010,21591
31712,8050,21644
30465,8068,23047
30207,8013,22220
29040,8137,22433
30298,8896,22624
29738,8395,21906
30634,8516,22109
29432,8003,22281
31261,8023,21805
29817,8104,21686
29542,7978,21931
30859,8054,23004
31069,8011,22311
30737,8172,22113
30141,8010,22936
31399,8010,22021
30540,8169,21792
32534,8073,22181
29496,8094,22987
31392,8677,22051
30192,8083,21739
29163,8087,22847
29857,8105,22583
29617,8801,22528
29382,8134,21609
31330,8971,21825
30616,8257,22706
30119,7967,21963
29952,8058,22128
29844,8824,22725
29783,8004,22407
29739,7998,21944
30071,7989,22030
30924,8166,22541
31714,10113,22827
33583,9393,24964
31473,8628,23072
33707,8852,23492
31857,8230,21416
30216,8050,22018
30446,8017,22744
29806,8013,21642
31033,8606,22688
31124,8652,21594
31213,8205,23952
30260,8003,22775
30795,8082,23620
