Mult,MultNoRelin,Relin
5710,2687,2773
5734,2638,3228
5789,2589,2753
5375,2604,2759
6028,2690,3052
5921,2596,2857
5797,2646,2758
5418,2519,3011
6424,2679,2666
5572,2826,3054
5569,2685,2963
5537,2638,2976
5969,2679,2872
5643,2909,2953
5528,2567,2913
5191,2551,2990
5358,2644,2672
6070,2704,2873
5385,2705,2902
5353,2670,2849
5323,2642,2780
5483,2638,2592
5294,2588,3134
5276,2655,2805
5500,2712,2854
5674,2608,3132
5641,2657,3209
5918,2826,3252
5962,2834,3733
5683,2677,2758
5411,2729,3299
5188,2611,3664
5464,2623,2739
5277,2695,3115
5481,2722,3062
5484,2647,2794
5426,2623,3194
5762,2779,3231
5919,2758,2719
5922,2718,2934
5641,2801,3211
5786,2684,2745
5345,2733,2761
5401,3098,3366
5626,2640,3147
5430,2777,2792
6086,2668,2881
5485,2683,2825
5730,2804,2759
5582,2769,2842
5488,2698,2774
5377,2802,2946
5756,3551,3348
5841,2653,2765
5990,2798,3029
8026,2837,2900
5920,2629,2727
5590,2757,2940
5692,2859,2845
5508,2645,3100
5478,2738,2814
5563,2640,2916
5396,2678,3058
5244,2668,3206
6477,2738,2901
5289,2598,2806
5281,2693,3243
5220,2673,2690
5692,2524,2646
5656,2695,2813
5461,2639,2862
5475,2665,3229
5820,2713,2836
5721,2700,2856
5430,2597,2684
5873,2784,3031
5923,2643,3322
5799,2627,2772
5604,2586,3392
5499,2684,2816
5304,2574,2959
5352,2745,2601
5715,2669,2740
5521,2561,2816
5368,2605,2878
5432,2640,2999
5585,2898,2991
5879,2798,3404
5868,2684,2802
5254,2620,3175
5649,2616,2922
5419,2644,2934
5537,2600,2704
5300,2588,3328
5503,2671,3006
5344,2613,2763
5252,2673,2935
5477,2583,2846
5233,2569,2950
6403,2835,2628
