Mult,MultNoRelin,Relin
17879,6132,11307
16915,5598,11754
17172,6211,11631
17439,6091,12920
17968,5487,11252
17992,5900,12479
17115,5685,12823
17312,5668,12389
17942,5808,11350
17357,6478,13171
16925,6496,12837
17457,7415,10771
16650,6137,14066
17466,5700,11128
17071,5676,10803
17771,5546,11220
17095,5581,11386
17903,5470,10708
17439,5446,10842
17841,5673,11085
16813,5974,11161
18487,6243,12029
17476,5745,11705
17773,5708,11931
17438,5796,12899
17733,5835,11546
16610,6299,12850
17047,5659,10936
17098,5837,11823
16694,5909,11396
17418,5855,11588
16674,5709,11614
17956,5877,12569
19847,6341,12563
18241,5412,12070
16613,5545,11214
18303,5691,11704
18517,5559,10791
18147,5905,12192
18436,5709,12323
18350,5760,11032
17260,5562,11524
16629,5714,12130
16545,5683,10989
16236,6124,11793
17465,6184,12018
17520,5864,11443
16531,5900,12729
16084,5711,12076
16912,5641,13164
17541,6243,11619
18579,6097,11339
17237,5910,11115
16752,5449,11512
16487,6127,10722
17008,5735,11825
16663,6111,10900
17418,5584,10940
16831,5655,12406
16417,5556,10922
16708,5679,11322
16654,5639,11041
17683,5684,12130
17464,5586,11239
16378,5703,10879
18629,5625,10813
17152,5845,12106
16860,5963,10865
18513,5715,11612
16758,5667,11138
17258,5742,13017
16988,5706,10990
16699,6097,11550
16958,5578,12427
17008,5597,10989
16522,6110,12416
17082,5622,12137
17821,5724,11029
17241,5716,12060
16990,5596,10918
17260,5609,11669
17835,5592,10805
16621,5561,11424
16360,5987,11850
17264,5611,11454
17415,5410,11338
17592,5775,11173
17289,5795,11587
16634,5591,12104
16419,5847,11175
16639,5747,11275
17350,5687,10862
16561,5740,11113
16162,5634,11233
16672,5605,11262
16418,6555,11031
16436,5822,11774
17110,5715,11459
17677,6069,11735
17007,6089,10806
