Mult,MultNoRelin,Relin
5726,2879,2955
5586,2780,2907
5574,2673,3056
5457,2609,3330
5797,2843,2957
5967,2564,2846
5915,2639,3178
5655,2603,2743
5900,2511,2854
5763,2741,2822
5463,2700,2863
5826,2857,2924
6231,3014,3098
5598,2680,2952
5551,2776,3103
5495,2535,2798
5616,2782,2668
6943,2725,3490
5637,2698,2729
5731,2732,3116
7227,2715,3151
5506,2694,3154
5684,2598,2852
5583,2651,2858
5587,2594,3173
5644,2701,3062
5544,2679,3114
6121,2900,3141
5940,2700,3046
6180,2705,2975
5839,2627,2761
5575,2759,2690
5539,2606,3044
6122,2618,3123
5445,2620,2965
5335,2667,3046
5647,2746,3082
5440,2577,2925
5536,2644,3002
5502,2614,2803
5798,2625,2955
5872,2651,2915
5478,2659,3141
5988,2747,3382
5549,2648,2971
5690,2706,2717
5703,2623,3217
5450,2629,3053
5647,2660,2655
5561,2589,2647
5769,2588,3033
5714,2841,3106
5816,2654,3586
5751,2691,3197
5755,2624,2918
5374,2622,2755
5435,2611,2978
5512,2763,3284
5864,2572,2725
5331,2570,3022
5876,2675,3036
5348,2610,3231
5440,2615,2847
5581,2666,3113
5448,2567,2787
5447,2560,3012
5473,2633,2795
5580,3390,3218
5953,2755,3124
5391,2753,2760
5731,2576,2871
5596,2665,2838
5506,2653,3129
5376,2709,2953
5360,2667,3167
5740,2604,2844
6071,2643,2925
5512,2660,3024
5864,2605,2844
5573,2617,3340
5429,2667,2928
5820,2679,2708
5481,2677,2850
5602,2633,3281
5651,2607,3127
5490,2568,2996
5289,2711,2967
5787,2739,3048
5661,2643,2835
5222,2584,3371
5434,2696,2993
6071,2669,2838
5458,2578,2836
5494,2586,2910
5416,2713,3137
5450,2630,2769
5430,2626,2836
5603,2616,3005
5351,2694,3105
5525,2601,2958
