Microseconds
79689
78949
77853
78825
78960
77841
78169
77095
77890
79326
78092
78363
78241
77966
77510
78290
76911
76524
76863
76451
76194
75608
75821
75950
76052
76985
75368
77104
76734
75939
75769
74930
75192
75948
75033
75527
75545
75099
75705
74998
76015
75955
75195
75580
75373
75013
75435
75857
75439
75363
74795
75283
74762
74957
74728
75372
75050
75573
74820
75319
75233
75532
74981
75207
74919
75628
75116
75012
74756
74957
74623
75277
75389
75046
75383
74468
75281
74813
76906
75473
75123
74759
75652
75098
75153
75022
75019
75507
74540
75051
75001
75239
75365
74661
75207
75072
75006
75189
75323
75519
