Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
22226,23377,23004,5833,5436,5326
22729,21693,22293,5046,5811,5321
21748,22260,22485,5190,5372,5217
21702,21817,22530,4952,5320,5266
21663,21904,21530,5055,5281,5415
21546,22131,21696,5147,5359,5259
21726,21700,21611,5029,5330,5465
21919,21557,21834,5115,5351,5306
22428,21498,21956,4965,5215,5276
21590,21755,21685,5053,5364,5218
21759,21634,21833,5051,5300,5223
21625,21753,21645,5027,5192,5390
21866,22215,22647,5019,5258,5410
21753,21682,21630,5060,5215,5312
22023,21867,21890,4995,5173,5291
21520,21603,21908,4950,5242,5417
21759,21518,21830,4926,5428,5096
21544,21887,22119,4967,5566,5306
21557,21639,21637,4902,5333,5349
21585,21703,21708,4958,5464,5501
21768,21736,21639,5062,5263,5687
21695,21679,21674,5075,5287,5394
21673,21675,21991,4996,5215,5319
21682,21656,21557,6268,7331,5739
23309,21998,22130,5328,5418,5465
21877,21619,22774,4906,5369,5371
22274,23250,21718,4921,5354,5625
22295,22780,21583,5128,5771,5248
22719,22424,21777,5101,5204,5235
22206,21632,22037,5092,6327,5183
22245,22235,22826,5725,6224,6475
22299,21999,21651,5025,5505,5416
21902,22521,22682,4964,5380,5272
21667,21784,22028,5009,5361,5192
21734,21664,21644,5078,5194,5302
21592,21759,21636,4887,5281,5442
21824,22880,21751,4935,5280,5278
22372,22441,21630,5038,5289,5277
21771,21644,21675,5068,5212,5353
21541,21623,21948,5220,5688,5411
21643,21655,21584,4935,5423,5355
22311,21688,21648,4891,5355,5280
22372,21624,21714,5047,5178,5486
21563,21807,22742,5079,5253,5428
21658,22234,21826,5360,5273,5367
22297,21475,21788,5420,5315,5240
21593,21657,21686,4961,5350,5334
21637,21710,21704,4953,5291,5386
21706,22977,21678,5098,5281,5302
21704,21704,21493,4883,5390,5319
21705,21670,21674,5006,5302,5294
21647,22219,21604,5143,5189,5211
21617,22360,22094,5143,5295,5297
21667,21676,21666,4878,5564,5264
21676,21682,21520,5038,5284,5216
21694,21595,21621,5115,5282,5274
21664,21705,22240,5051,5343,5304
21636,21695,21565,4963,6188,5378
21532,21597,22491,5015,5340,5385
21825,21577,21717,5036,5237,5346
21650,21645,21801,5542,5355,5335
21557,22510,21613,5000,5261,5321
21566,22379,21643,4942,5245,5622
21664,21748,22616,5027,5380,5260
21675,21665,21719,5140,6539,5295
22145,21526,21939,5119,5384,5255
22281,21644,21642,4980,5269,5256
21737,21704,22070,5212,5420,5279
21730,21941,21777,5130,5202,5259
22310,21787,22159,5272,5250,5338
21670,21649,21577,4920,5271,5321
21627,21644,21703,4893,5206,5351
21666,21658,21889,5046,5186,5350
22655,22297,22235,5010,5349,5261
21634,22260,21579,4972,5391,5242
21586,21609,22565,5073,5288,5209
21705,21661,21682,5045,5110,5420
21552,21668,21613,4910,5338,5285
21626,21650,21959,5255,5405,5238
21648,21723,22201,4941,5355,5275
21495,21744,22582,4983,5169,5345
21735,21598,21566,4895,5295,5248
22338,22264,21609,5014,5234,5199
22243,21561,21611,4989,5306,5195
21535,21548,21769,4949,5235,5294
21647,21644,21652,4993,5354,5332
21693,22722,21598,5028,5331,5241
22537,21645,21644,4941,5359,5346
21650,21685,21693,5160,5282,5307
21547,21698,21753,4924,5224,5219
21700,27428,27445,6378,5292,5463
22567,23644,22749,5172,5357,5464
21729,21919,21812,4976,5393,5287
22862,22408,21770,5015,5194,5343
21700,21685,21621,4965,5245,5228
21723,22321,21751,4900,5219,5448
21690,21694,21637,4951,5277,5244
21702,23051,21613,4935,5218,5201
21623,21696,21707,5540,5330,5572
21714,21684,21678,4964,5256,5273
