Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
7857,7879,7639,1897,1878,1924
7397,7486,7803,2086,1996,1842
7972,8046,7532,2020,2026,1976
7598,8028,7868,1872,1940,1813
7618,7587,7729,2017,1948,1858
8455,8250,7525,2206,2406,1938
7558,7526,7703,2192,1993,2128
7727,7672,7475,1820,2011,2001
7442,7630,7722,1824,1838,2102
7942,7629,8085,1989,2156,1819
7920,7981,7477,2120,1860,1904
8057,7890,7593,2029,1938,1994
7460,8073,7669,1981,1901,1976
7561,7740,7804,2224,1887,1924
7551,7911,7764,1892,1940,2193
7530,7507,7758,1935,2356,1818
8209,7779,7465,1959,2207,1972
7501,7607,7719,2193,1891,2044
7824,7544,7668,2095,2067,1828
7965,7872,8147,1877,1945,1928
7426,7656,7617,2236,1941,2070
7742,7810,7524,1765,2059,1842
7944,8002,7574,2073,2043,2144
7620,7752,7576,1780,2064,1853
8058,7772,7442,1886,1912,1944
7667,7315,7925,1882,1824,1872
7391,7490,7508,1846,2271,1776
8023,7834,8305,2089,1784,2079
7437,7646,7498,2156,1836,1947
7551,7611,8025,2181,1804,1882
7564,7679,8023,2139,1936,1927
7526,7898,7762,1831,1884,2161
7717,7642,7585,1878,2062,2169
7979,7800,7740,1773,1923,2307
7639,7564,7706,1759,1796,1926
7815,7535,7669,2182,1926,2219
7873,7968,7983,1863,2001,2182
8214,7870,7898,2019,2031,1883
7401,7583,7990,1857,2391,1854
8056,7962,7839,1831,2079,2034
7697,8142,7485,2011,1856,1886
8237,7598,7872,2109,1864,2085
7764,7650,8065,2141,1903,1878
7967,8728,8160,2141,2132,1837
7929,7685,7378,1783,1818,1970
7474,7367,7650,2189,1943,1964
7717,7623,7447,1829,2142,1819
8227,7783,7771,1981,2059,1964
8077,8101,7634,2240,2139,1803
7805,7804,8210,1854,1963,2145
8387,7472,8050,2110,1972,2129
8000,8096,7598,1759,1784,1831
8015,8093,7509,1870,1925,1925
7452,7825,7522,1909,1868,2034
7888,7795,7742,2273,1803,1887
8127,7766,7853,1937,2044,1803
7711,7393,7722,2148,1807,2125
7684,8035,7839,2083,2060,1905
7921,7690,7765,2154,1839,1815
7981,7904,7910,2047,1949,2072
7426,7560,8151,2086,1805,2137
7894,8292,7814,1753,1874,2118
7860,7572,7743,2193,2141,1978
7727,7591,8013,1888,2153,2080
7627,7683,8199,2098,1813,1860
7900,7379,7363,1825,1936,2190
7966,8111,7528,1849,1874,1924
7900,7606,8265,2044,1995,1822
7755,7480,8106,1968,1835,1978
7876,7716,7831,1852,1834,2094
7874,7952,7782,1882,2033,2190
7870,7494,7698,1905,1788,2159
7749,7781,7677,2164,1816,1822
7773,7406,7876,1868,1879,2132
7913,7522,7722,2154,1872,2149
8003,7763,7585,2236,1923,1905
7573,7759,8133,1715,2029,2102
7695,8179,7758,1806,1822,1842
7661,7975,7401,2301,1840,1868
8189,8050,7926,1833,1797,1917
7528,7595,7851,1782,1958,2270
7789,7664,7463,1897,1838,1909
8100,7418,7846,1799,1883,2246
7835,7610,7851,1729,2039,1806
7775,7620,7821,1874,1804,2108
7600,7799,7865,2088,1886,1818
7642,8128,7893,2027,1832,1843
7981,7437,7702,2126,2234,1774
7712,7970,8041,1883,1851,1874
7771,8143,7937,2347,2142,1857
7672,7918,8241,1970,2064,2086
7613,7850,7531,1822,2095,1889
7424,7389,7530,2063,1842,1844
7572,7457,7784,2167,1855,2221
8351,7458,7851,1803,1829,1987
7557,7918,7576,1845,1803,1810
7640,7931,8015,2069,2159,2168
7867,7994,8030,1765,1853,1903
7553,7572,7962,1942,2196,1851
7663,7895,7644,1892,1893,1977
