Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
2785,2724,2687,795,656,743
2803,2780,2770,635,610,716
2561,2642,2662,641,707,774
2780,2732,2628,632,683,677
2560,2614,2668,644,656,709
2643,2719,2742,674,684,720
2715,2764,2558,674,658,716
2679,2614,2678,593,776,698
2693,2812,2652,605,649,667
2723,2690,2725,621,684,761
2698,2681,2604,698,618,677
2646,2564,2629,641,590,692
2527,2603,2585,600,702,698
2723,2738,2706,638,684,713
2590,2623,2723,632,639,640
2683,2654,2737,700,614,703
2652,2580,2762,717,740,684
2683,2724,2590,643,708,711
2679,2666,2748,693,619,696
2660,2599,2693,643,676,651
2578,2600,2676,708,646,673
2673,2656,2694,640,731,692
2561,2676,2751,669,703,644
2614,2648,2694,659,650,675
2646,2585,2605,643,670,709
2558,2633,2595,642,644,654
2682,2557,2628,593,675,631
2614,2671,2618,683,694,657
2631,2668,2856,733,685,672
2607,2635,2733,658,658,664
2762,2604,2659,650,659,664
2616,2541,2753,647,685,680
2571,2587,2700,646,650,687
2789,2647,2734,650,665,684
2627,2585,2575,702,686,687
2652,2711,2661,689,671,723
2721,2574,2601,691,623,714
2714,2658,2697,693,734,619
2558,2639,2828,638,710,784
2642,2757,2784,651,644,673
2695,2812,2745,678,652,741
2721,2605,2711,669,799,653
2655,2581,2710,672,659,704
2635,2563,2674,660,647,688
2616,2684,2710,660,690,646
2690,2735,2698,644,693,675
2775,2564,2670,673,645,710
2572,2788,2730,665,669,665
2688,2799,2615,738,595,679
2692,2689,2765,667,716,682
2624,2614,2631,648,644,672
2694,2576,2771,696,674,713
2571,2748,2777,657,699,621
2641,2622,2597,688,665,635
2740,2738,2705,693,719,702
2721,2633,2607,771,642,694
2678,2606,2571,646,633,689
2554,2667,2716,644,645,674
2496,2582,2791,702,625,673
2808,2669,2622,672,678,661
2692,2633,2707,668,700,646
2673,2610,2691,672,675,672
2607,2710,2598,686,678,655
2603,2597,2587,665,629,676
2604,2597,2697,660,584,678
2653,2628,2592,613,669,644
2661,2600,2649,620,663,654
2565,2856,2680,625,657,643
2580,2612,2576,652,637,637
2616,2675,2572,610,637,602
2609,2688,2710,662,650,661
2613,2613,2668,662,709,693
2651,2661,2809,691,699,632
2586,2622,2645,633,641,664
2640,2776,2598,654,727,735
2524,2599,2613,696,680,692
2622,2675,2678,677,662,642
2561,2610,2595,673,671,652
2695,2680,2576,658,617,684
2619,2596,2656,658,623,684
2598,2632,2583,666,671,646
2598,2725,2572,641,654,681
2659,2656,2584,617,708,659
2775,2779,2668,653,726,659
2619,2709,2667,640,683,674
2645,2645,2650,666,648,654
2733,2575,2643,613,647,721
2643,2668,2605,639,678,654
2718,2611,2732,610,684,643
2611,2646,2607,708,626,650
2576,2622,2650,639,609,676
2659,2725,2648,669,680,654
2709,2553,2618,607,646,641
2617,2641,2594,670,660,615
2649,2699,2787,720,681,756
2626,2674,2722,659,672,669
2574,2733,2741,641,642,691
2756,2679,2611,683,681,651
2571,2682,2619,665,652,635
2619,2706,2693,628,730,624
