Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
2701,2605,2800,808,633,648
2611,2765,2782,749,643,667
2624,2636,2699,675,671,636
2608,2604,2545,660,664,648
2671,2562,2740,691,680,644
2662,2686,2573,636,652,623
2577,2588,2654,628,649,664
2622,2507,2636,619,665,696
2600,2629,2696,720,698,680
2719,2699,2776,625,675,706
2542,2618,2649,645,613,680
2556,2722,2544,637,627,704
2608,2612,2568,644,689,702
2629,2553,2636,669,669,616
2569,2623,2556,606,587,658
2542,2638,2628,637,622,672
2606,2565,2642,663,671,642
2609,2553,2655,680,738,695
2641,2578,2643,642,627,648
2609,2569,2593,651,584,685
2621,2621,2594,636,671,656
2534,2589,2612,710,678,670
2587,2645,2614,644,623,705
2679,2578,2589,598,673,655
2572,2665,2598,634,663,670
2804,2635,2618,682,658,673
2663,2536,2634,694,672,662
2572,2674,2705,710,676,691
2647,2590,2587,618,644,677
2575,2730,2647,628,640,645
2679,2680,2681,577,714,721
2649,2607,2647,635,670,681
2777,2731,2851,647,640,701
2795,2807,2690,672,706,718
2679,2558,2529,703,663,719
2590,2631,2616,681,677,724
2680,2722,2542,671,681,668
2608,2722,2732,657,720,793
2621,2568,2739,679,632,671
2609,2607,2673,680,699,700
2673,2638,2607,727,658,620
2707,2779,2714,673,678,658
2666,2659,2568,742,644,659
2676,2602,2662,659,659,648
2663,2586,2645,650,645,655
2571,2634,2716,643,697,650
2709,2682,2709,669,703,661
2751,2782,2662,665,649,673
2635,2688,2773,735,696,623
2759,2836,2718,605,771,618
2538,2669,2625,641,709,668
2677,2628,2686,715,646,647
2581,2730,2753,664,702,651
2613,2542,2616,684,658,647
2577,2659,2672,582,664,691
2698,2767,2684,731,713,678
2597,2708,2626,629,595,730
2724,2610,2618,641,674,727
2633,2608,2647,679,627,813
2667,2781,2776,655,652,651
2550,2672,2740,657,655,612
2690,2600,3024,726,690,688
2565,2800,2735,708,764,762
2694,2587,2698,672,730,668
2675,2758,2957,673,692,729
2704,2715,2631,698,690,759
2874,2621,2562,680,672,741
2701,2737,2686,743,675,723
2578,2746,2718,689,674,653
2709,2752,2641,688,634,738
2645,2713,2604,630,757,741
2740,2724,2699,630,738,673
2806,2846,2772,785,625,701
2772,2787,2763,641,664,709
2605,2747,2807,607,633,683
2619,2589,2627,598,658,599
2686,2606,2662,653,712,714
2747,2694,2743,662,688,750
2672,2741,2685,730,664,661
2597,2799,2679,642,599,679
2656,2676,2656,644,729,696
2720,2597,2619,698,646,698
2763,2689,2744,723,672,652
2561,2644,2672,693,644,681
2608,2654,2656,631,683,660
2693,2648,2691,671,710,672
2732,2741,2734,632,647,636
2609,2565,2606,706,649,626
2583,2627,2543,645,641,694
2735,2663,2997,921,1030,852
3123,3095,2723,737,777,724
2667,2682,2635,666,688,663
2604,2829,2622,760,714,635
2555,2595,2650,639,672,668
2662,2629,2576,650,659,645
2782,2531,2611,630,683,697
2573,2629,2664,630,666,647
2544,2553,2686,657,701,617
2572,2567,2602,752,671,653
2804,2844,2587,643,702,659
