Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
2813,2711,2685,658,733,676
2668,2729,2826,640,634,816
2723,2793,2706,639,748,754
2670,2839,2630,654,656,682
2642,2721,2733,695,718,664
2628,2816,2673,722,657,676
2652,2813,2764,690,730,737
2744,2751,2797,724,680,611
2587,2582,2776,668,618,695
2585,2608,2583,654,652,674
2544,2737,2649,652,626,620
2565,2732,2719,669,636,718
2862,2704,2874,694,657,752
2792,2766,2779,666,743,719
2701,2803,2696,710,736,682
2711,2667,2675,639,700,668
2714,2724,2630,658,681,650
2557,2528,2741,638,662,678
2603,2625,2847,699,763,728
2831,2677,2757,667,648,718
2749,2653,2736,688,681,723
2779,2561,2741,670,703,679
2745,2697,2738,703,661,687
2651,2651,2590,628,663,692
2648,2599,2626,642,680,622
2646,2612,2905,675,660,667
2658,2842,2857,720,663,728
2853,2869,2761,660,650,671
2869,2831,2633,608,605,715
2808,2596,2592,722,809,731
2760,2621,2727,621,683,673
2706,2577,2647,768,654,698
2763,2764,2667,680,720,702
2616,2676,2741,638,740,816
2705,2731,2731,734,718,692
2617,2747,2684,695,687,683
2827,2705,2824,628,708,719
2793,2809,2788,655,714,663
2710,2719,2616,707,635,650
2618,2698,2751,665,634,638
2642,2642,2634,696,658,621
2633,2705,2718,649,680,761
2677,2711,2611,707,680,636
2714,2832,2778,708,648,760
2613,2759,2630,640,646,649
2668,2901,2768,666,680,676
2595,2645,2675,696,654,650
2659,2701,2677,686,807,744
2732,2646,2697,654,658,675
2680,2669,2577,715,710,687
2596,2587,2607,579,639,672
2653,2827,2644,621,709,660
2774,2807,2614,656,662,675
2640,2775,2694,658,657,648
2669,2560,2586,606,653,659
2664,2601,2710,609,635,620
2605,2583,2596,672,679,675
2604,2683,2684,686,640,711
2648,2711,2662,649,607,638
2714,2830,2760,664,632,699
2672,2606,2607,622,652,642
2756,2647,2584,729,677,669
2667,2734,2604,708,679,680
2607,2608,2633,671,633,639
2667,2664,2586,604,629,617
2641,2608,2675,606,670,682
2662,2698,2593,632,651,635
2664,2663,2634,636,696,652
2670,2679,2630,664,628,621
2651,2688,2600,622,675,709
2617,2702,2687,625,658,672
2518,2599,2706,637,661,656
2695,2613,2622,617,676,637
2671,2703,2644,676,672,662
2704,2656,2612,666,611,634
2580,2648,2609,651,677,753
2683,2610,2700,607,632,640
2635,2696,2588,742,700,676
2619,2523,2623,656,644,704
2750,2607,2610,615,645,649
2656,2603,2662,628,676,690
2575,2595,2638,623,709,672
2640,2576,2559,661,644,665
2560,2673,2582,657,682,697
2747,2607,2638,721,639,605
2584,2629,2680,675,659,674
2622,2616,2742,678,594,609
2574,2626,2931,818,699,997
2804,2786,2848,696,690,748
2702,2737,2827,684,667,670
2717,2647,2673,708,723,663
2763,2619,2737,658,646,731
2682,2868,2647,596,601,676
2672,2739,2573,691,612,678
2670,2600,2689,625,648,701
2598,2644,2674,626,701,742
2725,2681,2627,582,621,653
2816,2811,2659,657,671,718
2726,2808,2605,660,653,672
2623,2725,2754,674,707,728
