Microseconds
211522
210526
207344
206674
196084
198593
200246
200988
193770
194271
194427
195763
193526
203415
194292
194017
194230
196009
195822
194032
192581
192491
194399
195511
197317
193055
193359
194439
195909
193613
194689
194897
194637
195120
194548
192678
193395
192977
193157
194921
195982
194629
192698
194098
193963
193407
193071
193977
194242
192767
193344
192726
192470
192076
196448
193829
195642
198834
197938
196023
196334
193128
193767
193651
193665
192950
192759
193446
192697
193993
193819
194298
194919
196207
193594
193307
193780
194133
193548
193986
193540
191817
192878
193212
193236
193152
193336
192847
192843
191901
193268
193682
194839
191866
192910
193297
193231
193162
193044
193213
