Encrypt Size 1, Encrypt Size 4, Encrypt Size 8, Decrypt Size 1, Decrypt Size 4, Decrypt Size 8
6837,6519,6617,16790,17333,16491
6223,6342,6168,16891,14241,16722
6599,8297,6732,15641,18920,15604
6374,6221,6242,16134,16047,15801
7183,6105,6603,16182,14355,17069
6498,6370,6720,16209,15971,16162
6522,6401,6573,17322,16947,16731
6265,6674,6288,17576,15480,17545
6432,6355,6231,17278,16739,16579
6148,6112,6191,15476,16858,17579
6366,6651,6181,16512,13582,16339
6253,6620,6177,13697,16892,16445
6401,5991,5964,13185,17291,17182
6364,5903,6336,16366,17756,17341
6150,6106,6211,16215,16299,16191
6401,6201,6369,18046,17649,16179
5991,6235,6232,16700,15992,14877
6480,6459,6190,16574,18041,17776
8250,6372,6116,15520,17165,16120
6309,6434,6739,18365,17349,41731
9018,6653,6745,17393,15979,18026
6579,6381,6131,17335,17871,17063
6397,6219,6488,16115,17637,15621
6227,6589,6337,16446,17347,16741
6096,6664,6585,16213,17640,17366
6316,7596,6173,16002,17418,16418
6732,6612,6575,17713,16898,15845
6636,6109,6465,16284,14242,17569
6622,6047,6265,16196,16892,17783
6104,6508,6235,15630,15848,16367
5987,6093,6095,15568,16340,19024
9284,6658,6445,15374,16526,16417
6140,6573,7300,18255,17231,16974
6257,6128,7254,15328,18169,16425
6459,6330,6310,15704,16680,16353
6080,6237,6098,17144,17727,16172
6406,6224,5963,16809,16322,16552
6643,6358,6190,17349,18506,17972
6299,6384,6327,15370,17114,16658
6309,6432,6039,17337,17075,16642
6356,6394,6372,16858,16648,17226
6315,6309,6350,15684,16595,16839
6305,6393,6259,16313,16731,16470
6540,6128,6095,15395,17013,16125
6170,6311,6323,15851,16197,16767
6610,6046,6870,15260,17090,16905
6873,6553,7099,15876,17646,17925
18781,8119,9451,18641,17854,18295
6740,6768,6106,14943,17466,16278
6842,6301,6467,15623,17021,15571
6336,6333,6723,16451,16496,17543
5980,6047,6359,16526,16239,16310
6573,6518,6342,16042,16401,16238
6574,6647,6332,16790,16544,15017
6106,6661,6062,16635,16281,14215
6464,6350,6473,16221,16642,16746
6261,6267,6185,15183,16886,17380
6539,6548,6528,16430,15880,17228
6519,6536,6307,15950,16798,17232
6132,6070,6332,15225,18533,16070
6168,6120,6361,13255,16880,16047
6589,6090,6171,15364,18202,16115
6262,6255,6032,14984,17363,18152
6269,6392,6566,15662,16706,16666
6794,6418,6471,16520,16534,17018
6398,6354,6207,15632,17289,16261
6549,5977,6360,16571,16099,16790
6469,6151,6251,16643,18185,16444
6235,6366,5996,16745,18661,17474
6439,6414,6358,17298,18406,16725
6751,6277,6379,15807,17163,17798
6273,6554,6321,16128,16037,16436
6478,6201,6461,15276,16618,16858
6533,6224,6252,16187,17303,17402
6628,6332,6478,16572,16970,16256
6514,6117,6324,15509,17157,17204
6614,6319,6237,16067,16788,17900
6363,6283,6357,16638,16256,16476
6496,6310,6297,16235,15670,16469
6486,6424,14211,23295,19723,20049
6063,6291,6534,15298,16768,16869
6316,6430,6207,16145,17897,16026
6135,6296,6220,17022,15638,17340
6379,6506,6228,16425,17292,15313
6621,6737,6324,15915,17427,17200
6696,6328,6389,15684,17843,17355
6376,6309,6013,17044,17941,15345
6042,6145,6453,17083,17962,15632
6424,6322,6436,15734,17478,16836
6487,6284,6211,15925,17621,16439
6173,6103,6389,16532,16688,16469
6196,6008,6384,16979,17563,15332
6692,6404,6161,15441,16031,18308
6595,6246,6241,15146,16079,15715
6428,6458,6142,15565,17562,15805
6143,6384,6357,16712,17129,16112
6344,6450,6182,14514,16031,17509
6370,6197,6200,15683,16211,16878
6560,6512,6380,14977,16290,16901
6313,6251,6109,15067,16810,15901
