Encrypt Size 1, Encrypt Size 4, Encrypt Size 8, Decrypt Size 1, Decrypt Size 4, Decrypt Size 8
4791,4876,5225,15366,15590,14291
4957,4823,4849,13769,16473,15909
4896,4878,4909,15267,16223,15362
4838,4978,5142,15318,15986,15292
4795,4800,4904,15756,15631,15097
4961,4764,4874,15936,15488,15918
4832,4816,4867,15118,15175,16132
4779,4722,4866,15744,16072,15559
4969,4770,4746,15162,15999,15737
5246,4764,4670,15037,15441,15767
4814,5047,4834,15558,16171,15634
4851,4787,4890,15539,16074,16671
4919,4690,5011,14499,15803,15905
5071,4975,5074,15672,16210,15795
4730,5071,4791,15975,15965,15726
5010,4856,4831,14742,16233,15725
4868,4873,4850,16052,16328,15831
4903,4810,4938,15601,16167,15380
4942,4726,4814,16044,15896,15404
4808,4782,4988,15982,15538,15993
4882,4941,4990,15426,15384,16470
5003,4841,4981,13829,16113,16129
4847,4861,4893,14791,16060,15986
4877,4880,4933,14756,14518,15471
4882,5033,4968,15382,16269,16268
4833,5025,4863,15779,16654,15229
4747,4886,4724,15045,15886,16650
4743,4927,4957,15515,16300,15595
4988,4921,5052,16018,16186,15658
4987,4871,4936,14771,13981,15784
4717,4880,4865,15742,15669,15786
4837,4983,4773,15121,16207,15751
5041,4810,4823,15286,16319,15783
4860,4808,5000,15678,14805,16800
4872,4790,4931,16069,16795,15974
4792,4919,4911,15878,16607,16397
4814,4878,4886,15801,16053,16301
4756,4883,4796,15000,16210,15681
4871,4938,4700,15816,16151,15775
4907,4780,4963,15232,16171,15559
5026,4770,4841,15850,15708,16022
4868,4772,4969,15724,16133,13521
4807,4942,4898,15898,16133,15651
4765,4820,4716,15060,15609,16248
4716,4716,4780,14731,16080,16204
4823,4770,4883,15964,16044,15617
5122,4945,4964,15076,15733,16055
4793,4699,4903,16082,15737,16600
4810,4850,4971,14961,16300,16529
4785,4892,4885,16106,15845,16484
4831,4933,4993,16231,15787,16457
4809,4887,4762,16110,15944,15225
4780,4678,4732,15697,16329,16534
4900,4767,4818,15707,15485,16028
4976,4849,4918,15762,15065,15743
4758,4753,4749,16232,16137,15759
4889,5112,4770,14260,16380,16188
4921,4953,4841,15032,16166,16406
4885,4904,4831,14105,15272,15401
4811,4914,4815,15767,15490,16215
4890,4752,4764,15316,15769,16672
4900,4732,4965,15640,15898,16086
4762,4925,4954,14100,15613,16395
4874,4688,5029,16186,16186,15169
4902,4880,5083,15645,16647,15789
4804,4746,4792,15868,16492,15897
4970,4758,4956,15233,16656,15629
5027,4800,4829,15675,15947,16735
4770,4849,4781,15611,16570,16179
4875,5014,4869,15815,16105,14182
4782,4955,4843,15435,15967,15946
4963,4687,4879,15623,16083,15923
4797,4698,4886,15398,15929,16258
4746,4963,4760,15625,15905,16139
4977,4808,4905,15772,16091,16631
4841,4853,4834,14649,16397,15906
4988,4906,4738,15266,16095,15623
4789,4750,4740,15207,16127,15685
4852,4855,4738,15934,15686,15969
5004,4803,4810,15606,16356,15937
4882,4948,5013,15604,15628,16101
4946,4947,5030,15276,16169,16484
4752,4809,4729,15701,15790,16034
4894,4692,4876,15641,15254,15393
4712,4826,4891,15511,15884,15753
4796,4852,4791,15797,16176,16759
4800,4907,4855,15322,15717,14951
4883,4907,5053,16379,15875,16064
4793,4906,4801,16026,16581,16019
4874,5048,4745,15978,16622,15928
4887,4836,4820,15723,16224,15761
5212,4801,4797,14920,15889,16149
4851,4712,4680,15733,16072,16110
4972,4764,4766,15073,15530,16417
4746,4854,4767,15019,15919,16298
4921,5042,4789,15753,15664,15964
4716,4897,4815,15927,16150,15770
4875,4749,4763,15440,16083,16336
4796,4814,4816,15094,16197,16396
4804,4822,5390,15868,16188,15823
