Encrypt Size 1, Encrypt Size 4, Encrypt Size 8, Decrypt Size 1, Decrypt Size 4, Decrypt Size 8
6181,6265,6213,14231,16792,16487
6112,6438,6192,16715,16483,17962
6336,6451,6223,17375,17516,23057
12135,8857,10292,20731,16407,14619
6275,6354,6071,17790,17536,17494
6003,6065,6043,17396,17323,17494
6194,6132,7217,14870,15969,17518
6329,6547,6233,16652,17177,17342
6354,6393,6397,16357,15214,17286
6117,6131,6198,15479,16140,16705
6135,6485,6223,16656,13895,17112
6278,6326,6036,17439,16356,18263
6231,6387,6167,16827,15956,17343
6297,6410,6157,15326,17152,16365
6416,6584,6152,16716,15641,16092
6336,6072,6118,16598,17958,18304
6370,6243,6029,15340,17662,17308
5985,6087,6234,16744,16750,16215
6210,6080,5896,15499,16167,17692
6006,6151,6341,16633,16957,17406
6373,6109,6015,17937,16760,17211
6055,6124,6240,16458,16245,18086
6227,6375,6244,16610,17150,16520
6500,6190,6415,17203,15397,17099
6175,6331,6359,16496,17428,17480
6152,5998,6190,17215,13759,16932
6445,6264,6268,16099,16739,18081
6113,5991,6286,16843,17293,15913
6540,6399,6029,17206,16749,16684
6148,6228,6091,15461,18765,17745
6237,6222,6391,17659,17496,14953
6023,6337,6192,17149,16290,16502
6211,6332,6957,17559,17519,18428
6214,5924,6568,16559,18527,17525
5970,6143,5949,16816,17063,16775
7232,6248,6025,15056,17316,17380
6345,5942,6088,15734,16670,16786
6116,6267,6221,16564,18022,18537
6071,6159,6094,16056,17360,15411
6458,6258,6137,15113,17088,16201
6212,6075,5953,14577,17980,14092
6310,6116,6220,17508,16648,16911
6078,6039,6008,15760,17199,16313
6396,6334,6189,17104,16011,17831
6046,6164,6346,17755,18032,17939
6082,6468,6110,16106,17755,16925
5875,6077,5949,17158,17196,15980
6017,6185,6408,15505,15163,16817
6775,6205,6211,16045,16562,17839
6179,5943,6017,15572,18729,17569
6339,6209,5973,15469,16917,15454
6141,5975,6174,16264,17184,15855
6247,6009,6274,15764,17518,16692
6206,6191,6352,16310,16543,16427
6290,5959,5963,16564,17983,17353
6110,6382,6272,15850,17770,16587
6057,5960,6369,15881,17363,17080
6447,6352,6058,15576,16369,15877
6109,6164,6437,16869,16211,16576
6339,6194,6336,16349,16483,15923
5917,6224,6201,15414,16460,17311
6157,6178,6124,17379,16174,16774
7105,6053,5940,16947,18092,16366
6079,6134,6414,16241,16568,16285
6189,6503,6168,17067,18896,18346
6065,5925,6041,17188,18071,17710
6036,6259,6185,16163,17135,18520
6489,6074,6059,17769,17229,18077
6172,6790,6248,16388,15972,16759
6196,6222,5988,17096,15154,16611
6255,6122,6017,15761,16988,15922
6346,5953,5864,15956,14759,16304
6327,7886,6199,16078,16865,17841
6320,5980,6177,15556,15654,15944
6270,6480,6511,16944,16456,16868
6030,6542,5957,15656,17895,16627
6150,6436,6210,16040,17440,16245
6022,6114,6184,16004,18041,16443
6258,6103,6130,15325,17370,17735
6195,6276,6012,17164,19006,18405
6241,6063,6371,16627,16838,18032
5978,6313,6256,16696,16518,17510
5962,6158,6174,17293,16328,16995
6363,6050,5981,15687,16735,17161
6143,6004,6189,15904,17037,16271
6468,5869,6361,15271,18165,16606
6304,6352,6036,16650,17848,16933
6523,6407,6217,16520,16603,17453
6093,6032,6275,16664,16827,16157
6389,6204,6199,15950,16977,18051
5959,5976,6095,15982,17941,16418
6116,6056,6050,16407,17742,16257
6263,6677,6026,16668,16178,16401
6107,6360,6204,15293,17321,16598
6066,6477,5937,16610,17978,17494
6049,6218,6341,16212,16092,17733
6514,5988,5881,16118,17226,16512
6645,6364,6230,15809,16650,17896
6108,6052,5920,15673,16992,16163
6098,6323,6381,17320,17856,18007
