Encrypt Size 1, Encrypt Size 4, Encrypt Size 8, Decrypt Size 1, Decrypt Size 4, Decrypt Size 8
22122,21537,21628,56754,62085,67293
21853,21377,21516,66129,60131,58144
22111,21567,20820,64741,58732,66762
21320,21716,21017,60178,65489,60443
22482,22224,21313,67660,59345,66641
21768,21217,21411,68458,67400,65335
21273,21749,21072,64566,62407,65615
21266,21287,21912,60281,65645,66318
21444,21380,21035,58656,60646,61483
21162,21200,21139,60118,63298,62162
21307,21245,20986,60493,67729,64703
21183,21687,20951,64059,67292,65051
21526,21088,21049,63519,63908,56984
21266,21095,21271,62801,61599,59548
21392,21727,21032,58016,62861,61886
21646,21306,21190,61922,62975,64797
21404,21463,20986,60515,59400,70129
21213,21748,20986,62737,63427,63787
21229,21886,21144,63737,67296,59447
21055,21814,21118,63323,63248,61714
21335,21588,21504,62577,64754,57343
21681,21483,21538,56669,59275,66984
21530,21262,21046,60868,60574,60405
21594,21479,21339,63334,61653,57430
21678,21589,21709,58779,63117,63689
21645,21903,21247,65956,61091,66861
21370,21580,21310,62825,59448,62033
21273,21407,21431,59179,63016,64959
21758,21333,21760,62068,67549,67428
21277,21268,21239,60594,64105,69346
22171,21863,22356,58928,63912,63014
21236,21788,21599,58519,60490,65186
21123,21672,21419,61701,62757,64711
21340,21912,21160,63025,65728,68825
21716,21574,21363,62912,59750,67654
22337,21689,21235,58635,64295,62777
21940,21310,21098,57860,59716,62162
21911,21139,21793,60489,63312,65135
22112,21697,21659,58146,63416,70421
21340,21635,21208,65861,63142,61996
21581,21815,21788,60003,63142,67643
21095,21780,21543,63981,62657,64172
21512,21594,21362,64566,61581,65881
21635,21200,21884,61247,62687,63129
21251,21527,21911,63083,61842,61152
21515,21635,21661,58974,57971,60722
21286,21682,21319,65668,62795,55162
21364,21249,21591,57394,66828,68485
22191,21668,21462,63619,65502,64739
21700,22008,21323,64087,61477,64734
21679,21380,22119,59885,60716,61726
21163,21239,21840,61163,57971,60545
21193,21728,21351,67361,62111,67960
21541,21887,21179,63350,60981,57976
21249,21223,21236,60663,63449,59061
21960,21817,21192,65378,61581,66807
21568,21308,21643,63789,65063,63377
21937,21272,21589,58850,66391,63264
22069,21886,21469,57657,63543,69553
21162,22116,21382,63637,62531,67135
21323,21189,21679,65776,69135,99498
21578,21649,21526,61838,57267,62233
21342,22698,21377,63486,59330,62693
21588,21439,21424,65334,63065,62211
21641,21266,21034,57395,62976,64890
21218,22521,23606,57533,61287,67225
21218,21303,22619,60494,63539,62934
21223,21245,21220,65396,63666,61408
21844,21735,21670,63201,60537,67025
21207,21151,21327,67860,64700,66470
21308,21189,21300,62561,59995,60957
22190,21451,21220,62622,66442,61537
21335,22173,21195,57880,64278,66462
21250,21187,21668,65292,66868,64871
22390,23005,21853,65397,62734,68069
21434,21324,21279,59621,63395,67274
21264,21298,21144,57715,64507,61178
21577,22005,21482,65268,59074,63992
21265,22493,21570,60603,64505,61773
21775,21826,22362,64717,60080,68212
21328,21193,21891,60380,58635,67449
21355,21874,21490,63884,61412,67543
22234,21256,21661,57078,62085,69231
21941,21682,21466,60843,60528,61453
21607,21933,21225,63915,62082,64211
21253,21233,22385,60845,63020,62293
21660,21277,21249,60518,58964,60059
21281,21657,21613,67383,61590,65942
21439,21277,21212,62006,57945,62435
21550,21232,21167,65163,65691,64037
21181,21427,22402,66388,61635,62917
21562,22198,22556,58173,63537,58562
21707,21530,21866,61578,64566,60025
21319,21287,21285,68263,61191,59509
21211,21247,21720,68149,67955,63372
21931,21171,21215,64204,65116,63634
21309,21653,21385,68340,62943,68138
21315,21284,21148,63629,66833,63323
21247,21339,21514,63480,61339,62324
21306,21210,21232,59370,64404,60952
