Encrypt Size 1, Encrypt Size 4, Encrypt Size 8, Decrypt Size 1, Decrypt Size 4, Decrypt Size 8
15764,15752,15157,33396,36185,31933
15429,15795,15858,36039,34502,35227
14979,15186,14506,33082,31606,36880
15200,15243,14681,32982,32598,33536
15498,15075,14927,35217,34909,34324
15634,15066,14964,34725,36497,36123
14583,15545,14819,33688,35588,31438
14696,15548,15632,37453,35396,33828
15702,14733,14488,37806,34840,34343
15092,15388,14848,35332,33335,36389
15120,14728,15247,35192,34623,32924
14825,14552,15231,36002,36121,35723
16180,15127,14646,32168,35842,37327
14869,14671,14682,36087,32714,38771
14697,15495,15031,34717,36895,35083
14391,14923,14846,34496,32683,31926
14575,14610,14931,34126,35691,34420
14965,15295,14603,36257,38550,35291
14488,14980,14922,38238,36180,37178
15301,14688,15602,36149,35356,37156
14508,14796,15064,36727,35972,37374
14429,14419,15425,36246,38596,33699
15027,15300,14834,35962,34079,38802
15062,15157,15197,37169,35872,32118
14651,15062,15588,39025,30680,36093
14970,14482,14642,31162,38874,35722
15271,15092,15038,33598,36818,37023
14643,14539,14487,34348,34740,36223
14518,14909,15342,35289,33933,31273
14983,14761,14747,29593,30954,31999
14815,14788,14783,37510,36280,36219
15187,14684,14459,38852,35413,36939
14410,15009,15004,36051,34342,32332
16127,14972,14793,35057,33831,34841
15425,15022,14511,34889,35835,33059
14718,15088,15267,35076,31379,34825
14866,15706,14648,33948,34988,37775
15081,15134,14803,34179,33411,35957
14824,14954,14833,32649,31852,34948
14723,14318,14685,30980,31954,35332
15392,15172,14664,33571,31315,33214
14930,14529,15519,37552,35809,36863
15222,15103,15859,32238,33228,37632
14432,14355,14736,36688,37176,31575
14601,14696,15332,36612,37061,35134
14522,14637,15585,37559,35035,37263
14478,14395,14432,31784,32746,35220
15854,15850,15375,32727,33392,31070
15178,15339,15703,32584,32000,33580
15629,14650,15457,34501,38640,40047
15085,14945,14990,34936,36917,32641
15440,15381,14446,37768,33793,34267
14746,14761,14899,36563,34851,33042
16058,15083,14493,36135,35524,33328
15657,15281,15207,33949,34487,34132
15208,14449,14640,34522,35716,38087
14680,14956,15165,36109,34361,31491
14687,14801,14380,33542,32407,35231
14830,14600,14483,34620,33388,31004
14759,14508,15132,34328,36643,34290
15286,15132,14719,35951,34723,31574
15191,15349,15414,37725,30659,33508
14808,14450,14807,35244,36496,34097
14807,15082,15006,36327,33538,35545
14567,15331,15554,36007,36617,31722
14926,14688,14491,29632,32794,34147
15413,14742,14409,36165,36183,34693
14856,14421,14447,34559,34217,32232
15400,16009,15363,34747,34648,35671
14484,14451,14698,39277,33077,33716
14888,14965,15294,35223,32641,37777
14699,14986,14441,36797,35119,34243
14722,14459,14445,38876,32290,32706
15023,14884,14998,35170,37183,31922
15146,15333,15181,34521,34293,34656
15163,15653,14846,36456,34554,32175
14930,14728,14967,33855,35195,36004
14717,14459,15028,29689,32130,30867
15846,15470,14990,33261,34228,31433
14962,14992,14663,32940,35747,35995
15657,14525,14593,31146,34005,34618
15180,15066,15374,32336,33712,34930
15032,15368,15658,37147,35426,35892
15050,14815,15023,29376,39035,36116
15048,15971,15652,32664,62225,37131
15032,14763,14625,36706,34170,33981
15193,14909,14887,36142,36907,36893
15587,15360,15582,33672,35538,38272
15267,15537,15145,36549,34464,32195
15211,15549,14654,36467,39878,33638
14948,14447,14411,30618,30422,33772
15972,15432,15200,32409,32554,35954
15514,15161,15248,36744,30406,33917
14967,14600,15015,38309,31431,33667
14633,14818,15030,35129,31456,33957
15087,15523,15493,37107,39829,34360
15462,16111,14845,34770,33961,36317
15576,15482,15561,34007,35152,35703
14824,14521,14968,31661,33870,34081
15148,15349,15478,34478,34643,30919
