Encrypt Size 1, Encrypt Size 4, Encrypt Size 8, Decrypt Size 1, Decrypt Size 4, Decrypt Size 8
15566,15466,15354,35957,32542,33055
15239,15523,15249,36914,33652,32070
15061,14745,15199,31029,31615,33513
15088,16103,15789,32516,34652,32566
15335,15258,14922,31280,35621,36298
14550,14588,14728,33723,34826,34423
14671,14728,14977,32217,36401,33958
15514,15093,15062,31376,35161,39123
15564,15296,15198,31788,31987,34828
14937,14716,14746,32453,35101,37950
14585,14473,14493,33745,34951,36093
14717,14597,14524,34782,34150,36096
14654,14568,14680,33901,35363,36409
14698,14412,14519,32352,33149,35315
14715,14758,14464,35593,35336,35034
14896,14768,14652,32208,35612,34452
14639,14721,14499,37864,34177,33800
14627,14570,14604,33805,34636,32940
14600,14510,14515,32597,37211,33837
14637,14716,14542,35280,35118,36654
14608,14553,14468,35649,37090,34075
14741,14542,14477,30825,39347,33832
14614,14666,15087,33104,34840,32945
15381,15273,15026,31218,39866,34915
14612,15108,14433,31431,34930,36257
14768,14942,14655,32552,32960,38610
14708,15531,14439,34218,39703,33351
14698,14538,15050,32561,36016,38606
15004,14624,15268,32844,31640,35119
14714,14765,14768,33341,33213,34907
14649,15193,14600,32439,34185,37628
14700,15422,14551,34870,35611,39951
14660,15111,14673,32122,37808,35767
14946,14761,15213,40871,40775,40995
14738,14852,15177,31405,36546,33217
15324,15467,14640,33601,35590,35343
14977,14871,14847,30606,34381,34586
14639,14925,15449,32093,36112,33123
14978,14495,14596,33659,37031,34978
14875,15106,14425,32508,36682,39648
14820,14669,14625,35389,37440,36139
14706,14468,14842,31511,35188,34417
14698,14734,15125,33677,31626,36886
14762,14743,14513,34945,37226,32170
14806,15212,14669,34278,33732,34121
14708,15206,14710,35602,40050,36359
14661,15434,14458,32959,35062,34035
15380,14593,14489,33692,37109,35614
14708,14590,15129,33672,35431,32910
15360,14620,14583,32158,39076,33637
15021,14660,14615,31678,34403,35242
15113,14688,14622,31818,39844,34147
14689,14743,14516,30892,34042,34574
14704,15152,14888,34164,38300,34416
14827,14688,14510,33180,38330,33442
14749,14750,14923,32772,34744,39130
15060,14677,14440,34031,36079,34502
15281,14582,15297,32407,37622,33066
14993,14681,14667,29324,39241,36653
15154,14678,14694,33659,33160,31713
15014,14767,14758,32682,36639,36328
14609,14964,15214,32404,37710,33206
14908,14788,15157,32856,37233,34233
14718,14893,14621,30978,36319,33725
14698,15308,14601,31426,33698,37142
14848,14983,14718,32131,36123,37044
14747,14722,14531,32277,36137,38247
14665,14827,15072,33416,36182,37986
15642,15485,14942,34785,36457,35677
14719,15082,14726,30809,38057,35216
15930,14593,14541,33274,35047,35423
14820,14652,14700,33466,35136,34676
14727,14611,14774,30880,37742,38868
15018,14749,15367,29802,33809,38698
14788,15018,14685,31259,33184,34014
15786,14977,14916,34503,36349,37311
15060,14998,14723,33380,33184,35779
14754,14801,14677,32989,36327,34726
14797,15054,14991,30980,36133,34599
15312,14661,14860,31260,32478,39005
14773,14752,15375,30730,37021,34587
14734,15338,14840,34426,34500,34142
14721,15002,14854,31192,35121,31395
15537,14749,14919,33050,32670,31491
14616,16087,14584,34580,34051,33133
14913,15058,14901,30118,34845,36162
14725,15414,14603,34922,33518,37232
14789,15433,14611,29761,33977,36915
14811,14976,14696,33589,37546,35577
15058,15115,14985,33419,37006,33306
14652,15003,15053,30692,36832,34958
14702,15063,14768,32126,35259,34137
14981,15448,14542,30718,39648,37785
14764,14748,15034,33114,33708,34104
15415,14947,14900,30981,33944,35783
14695,14756,15151,31146,35015,35507
14787,14715,15174,34936,35701,33239
14751,14774,15379,31404,36621,34510
15089,14652,14720,30570,36085,38099
14799,14832,15312,32332,37825,38042
