NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
2,313178,313364,313850,313652,312388,312979,938610,936926,2811388
1,313162,312937,312407,312568,313122,312979,944736,940675,2812448
1,312592,312825,312338,313234,312649,312729,937344,936723,2815905
1,313013,311386,313017,312384,312006,310477,936758,935690,2806393
1,313679,311376,312776,311563,310456,311744,943609,937963,2803303
1,312458,310707,308685,310087,313066,311196,932629,929588,2796196
0,310710,312833,309978,309729,308644,310586,935152,925831,2784472
1,311382,310409,308426,308360,311559,308129,928148,930354,2777894
1,307801,307348,312896,308739,311904,307633,923448,925104,2778186
1,307438,308805,307950,308164,307665,310043,923733,922786,2768568
1,307428,307833,307051,306769,307753,307470,923841,922028,2764146
1,307048,307627,307538,307268,308274,307879,922080,921670,2769190
1,307872,307342,307045,307838,307332,307279,922319,922634,2766156
1,309761,307967,307359,307738,307212,307243,922158,922331,2761521
1,307144,310920,308802,307225,307427,307223,922445,922117,2759319
1,310660,307055,312140,306949,307408,307757,920953,925037,2763393
1,307479,307859,313533,307582,307656,310169,922111,923298,2759068
1,307430,307833,311521,307113,307895,307283,921963,922157,2760588
1,307784,307323,316969,307937,307880,307176,921282,923081,2760023
1,307796,307666,310364,312835,307567,307169,922197,921861,2761446
1,307307,307116,307700,307340,312193,307540,921952,922530,2761919
1,307208,307286,307885,307156,310639,312228,925581,921797,2760101
1,307465,308469,307393,307483,307826,307473,930480,921350,2759791
1,306983,308204,307418,307306,307768,307660,926921,922472,2759646
1,307725,307113,307265,307168,307751,306916,927035,921719,2759605
1,307979,307453,307298,307855,310119,308008,925118,922946,2760155
1,307351,307522,307330,308080,306991,307058,921211,926752,2759545
0,308021,307528,307829,307183,307124,307085,924055,927080,2758883
1,307349,307592,308015,307433,307357,307765,921768,928513,2761111
1,307626,307605,307161,307098,307198,308029,922771,927857,2758759
1,307287,307550,307199,307112,307775,307226,921209,921793,2764791
1,307594,307315,307352,307472,307975,307057,921893,922015,2766833
1,307651,307483,307017,307877,307280,307301,921705,921641,2786486
1,311034,308018,308032,307666,307880,307838,928340,925987,2776306
1,307851,307892,308264,309682,308929,308668,923079,923827,2785802
1,307343,308134,307455,308162,307373,308197,928549,924320,2775880
