NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
2,98807,99359,98999,99541,99576,98906,297013,298733,892346
1,98162,97557,99125,99040,98807,98127,297104,296737,887072
0,97677,97944,97842,97781,97582,97315,293593,292231,897200
0,101331,98383,98427,99015,99055,99372,295630,296475,882686
0,97961,97867,99151,98945,99449,98739,296805,293779,881867
0,97417,97307,98221,98007,97666,97509,292045,296592,888899
0,97628,98736,99123,98822,98279,97452,295438,291346,893640
1,99503,101092,102185,105016,105154,99477,296583,295372,886963
0,98457,98554,97845,98702,99238,98334,295439,295631,885875
0,98581,98408,98620,98633,99081,98380,297021,295665,879785
1,98094,98195,99145,98466,97549,99674,297047,296998,888283
0,98878,98609,98375,99031,97846,97386,291648,291935,879547
0,98350,98996,97662,97258,97478,97494,295161,297482,888348
0,98044,98313,99890,100481,98608,98530,296560,294338,884540
1,98440,98594,99168,98684,99200,98934,295449,296101,888544
0,97763,97740,98939,98150,98327,97516,297963,300260,880805
0,99767,98660,97899,99909,99367,99445,298398,298016,893097
0,99482,99519,99366,97871,97593,98639,298129,298576,887388
0,99620,97707,98464,99980,100719,99783,298375,300260,892393
0,98499,97418,97599,97663,97425,97444,296318,295239,887048
0,98227,99058,98889,98937,98067,98013,292470,293297,877225
0,97785,98163,99107,98374,98379,98524,291836,292498,885358
0,98664,98619,98813,98403,99284,99074,294900,295664,886934
0,98513,99016,98360,98825,98261,98124,294613,296368,887777
0,99064,98740,97270,97299,97218,97211,292038,292145,887360
0,98848,98582,98614,98606,98548,98579,295521,292380,875604
1,97021,97302,97261,97492,97463,97147,292401,292200,883403
0,98794,98313,97133,97379,97319,97394,293092,296157,889616
0,99028,99096,98771,99234,98742,98671,293569,291867,888470
0,98705,98672,99021,99443,98818,98877,296454,295706,886265
0,98878,98884,99391,99205,99167,98711,295805,295408,886197
1,98497,98656,97897,98556,98917,98802,296674,297092,886714
1,98783,98259,98818,97818,97209,97467,295973,296132,884327
0,97820,97739,98212,97823,98073,98749,294159,294019,882225
0,98123,97970,98292,98176,98188,98197,294207,294895,882404
0,98050,98472,97974,98358,98644,98368,291848,294560,880194
0,97500,97356,97457,97604,97645,97476,292711,296721,881317
0,98947,98931,98964,98825,99129,98641,296041,294302,883486
1,98432,97970,98066,98142,99226,98296,295393,293590,881740
1,98258,98304,98582,98538,97855,97957,293437,293558,881553
0,97952,98444,98087,97690,97938,97715,293054,293820,881780
0,98140,98501,98379,97904,98011,97679,293758,294125,878172
0,98157,98539,97309,97633,98292,98198,292381,293600,883537
0,98922,98636,98192,98273,99103,98098,295489,296082,885807
0,98592,98527,98935,98303,99060,98808,296262,294922,883297
0,96987,97870,98548,98416,98041,98125,294431,294202,877101
0,97772,97080,98220,98774,98477,98344,293563,293419,879453
0,97692,97413,97652,97359,97885,98265,292609,292544,879236
0,98025,97004,99969,98075,97594,98116,293734,292841,879336
1,98246,97177,97315,98004,97679,97295,291896,293503,878312
0,98527,98578,97982,97827,97815,99098,294916,293973,879942
0,97487,97657,97956,98403,98644,98432,291187,294016,882353
0,98217,98672,98885,98517,97838,97818,293440,292040,879059
0,97816,98549,98158,98190,97854,98095,293908,294006,878623
0,97657,98093,98032,97965,97962,98131,293889,292801,881918
0,97231,98254,98203,97931,98279,97683,290857,292121,881250
0,98224,97381,97890,97289,96997,97375,288884,292960,878180
1,97876,97721,97989,97751,98030,98078,293111,292869,876316
0,97557,96827,97650,97196,97202,97730,293987,293118,879405
0,97745,97193,97712,97963,97425,98423,292442,294260,877420
0,97343,98010,97334,97278,98292,98126,293935,292970,877821
0,97245,97580,96393,95720,96567,96773,290239,287958,865394
0,96009,95539,96069,96584,97434,96382,292642,291239,874171
1,97883,96952,97460,97723,96925,96436,291035,293161,874837
0,97368,98066,97399,97332,96013,96863,293342,291243,874430
0,96749,97373,97521,97052,96664,98219,292595,291121,878558
1,98243,97718,97742,97666,96873,97231,292146,291330,874750
0,97594,97682,97648,97132,97300,97336,292852,291150,874147
0,98104,97064,98131,97916,98004,97765,287433,292174,873194
0,97317,96987,97407,97778,96712,96727,291172,290461,873871
0,97902,97637,97914,97533,97170,97379,292982,292759,878765
0,98357,98283,97321,97533,97927,97261,292336,288401,877151
0,97784,97710,98002,97454,97841,97513,292215,293101,874175
0,97559,97652,98371,96575,97761,98458,293180,292827,869302
0,96699,97225,97531,97533,97274,97416,293615,293187,878870
0,96866,96036,96190,97461,97400,97656,292650,289313,871073
0,97828,97679,98000,97636,97249,96757,290094,293503,870765
0,95775,95622,97295,97453,98043,97743,291847,289977,869964
0,97949,96823,97304,97806,98143,97579,292671,294264,874231
0,97221,97555,98287,97632,97153,97233,288300,286641,872667
0,97425,96821,97610,98219,97457,97364,292199,292726,874108
0,96067,96907,97026,97499,97169,97180,291369,291842,876888
0,97669,97263,96664,97684,96597,97119,292925,292978,880582
0,97677,97298,97864,97839,98504,98242,293884,292061,880907
