NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
2,128371,128376,128146,128414,126774,126434,386605,387070,904429
1,127797,128424,127569,127571,126183,126519,396456,385626,898603
0,127744,127517,128119,128663,127471,125735,384036,391202,898582
0,126597,127843,127247,129394,126852,125746,385802,383889,894960
0,127035,127306,127297,127622,126606,125670,383876,383115,897181
0,127403,129506,129525,127914,125916,125821,382072,382055,903996
0,129797,127683,129629,128859,128623,125764,383212,383018,894073
0,127344,128053,127688,126127,125105,125320,385093,388303,902931
0,126610,127431,127047,127189,125330,124420,381912,380477,891281
0,125459,128508,126833,127092,126108,124458,380950,379762,889230
0,125938,127774,126797,125856,125352,123981,379705,380942,889237
0,127631,126583,125991,125320,123897,125304,381945,379084,890406
0,127216,126474,126665,127127,124271,124211,381031,382214,884887
0,126944,127646,125435,125763,125824,125485,380223,380350,885911
0,125732,126055,128116,129078,125326,124882,380442,381497,884543
0,125722,125833,125469,125899,125328,125806,377550,380170,884475
0,125719,125567,125408,125576,123895,124569,379481,380458,888944
0,125712,125747,125206,126694,124854,124675,378015,379200,883939
0,125183,126219,126114,125289,124057,124581,379420,379200,884894
0,125481,125604,126782,126852,124236,123851,378391,378103,888051
0,125587,125434,125177,125352,124234,124660,378444,378043,891439
0,125618,125521,125792,125649,123950,123944,377720,378611,883020
1,125263,125680,125416,126045,126730,125808,379577,379999,884534
0,125764,125963,125383,125358,123868,124016,378501,378419,885874
0,125310,125593,125348,125781,123909,124410,377645,377985,882619
0,125480,125579,125705,125175,123763,123956,378745,378538,883723
0,126452,125111,125355,125795,123982,123937,378332,377841,889548
0,127683,126260,126139,124966,124859,125046,379158,379352,885845
0,125645,125261,128118,126045,125124,124357,379574,379476,889626
0,125775,126595,127408,125993,124199,124152,388302,382351,885962
0,126543,126109,125921,125563,124670,123918,378785,378927,885984
0,125565,125124,126163,127024,124251,126152,378758,376965,884037
0,125399,125900,125636,125758,124420,123921,377755,378836,882880
0,125391,125886,125372,125372,123973,124242,377743,378425,885100
0,125768,125946,125906,125361,124061,124048,378439,378002,883952
0,125156,125345,125186,125577,124143,124640,378328,378050,884637
1,125414,125497,125905,125425,123947,123978,381864,382254,882922
0,125495,125304,125594,125316,123687,124558,378919,378509,883196
0,125040,125353,125325,125664,123909,124258,378251,377948,883392
0,125584,125269,125828,127061,125452,124522,379788,378774,882476
0,125398,126238,126283,125574,123952,123878,377315,378755,894939
0,125627,125417,125079,125997,124068,124152,378698,378566,888329
0,125595,125983,126146,125277,124028,124111,378431,378279,882376
0,125323,125266,125045,125726,126487,126479,378469,378140,883877
0,125181,125671,125335,125633,124110,123976,379025,379427,886193
0,125445,125372,125202,125096,123818,124097,378277,377935,883340
0,125155,125320,125426,125598,124315,125033,378435,378990,883710
1,125234,125866,125704,126329,124031,124092,378286,379053,882291
0,125824,125915,125262,125152,123884,124347,377620,377956,882793
0,126044,125256,125441,125680,124287,124390,377999,378380,883774
0,125869,125520,125477,125260,124604,124300,377882,377754,882887
0,125191,125689,125896,125579,124349,123925,378290,378588,884178
0,126200,125276,125528,125189,123896,124536,378885,377902,883395
0,125413,125304,125485,128546,124104,123990,381475,378149,883052
0,125671,125518,125904,125750,124736,123956,377447,377341,882105
0,125421,125847,125349,126128,124026,124126,377432,377674,882873
0,125056,125307,125731,125207,124081,124171,378061,377648,883406
0,125670,125697,125340,125311,123858,124417,377493,378242,882510
0,125292,125669,125049,125719,123723,124387,378356,378778,881172
0,125409,128051,128598,129120,123921,124343,382783,378537,902933
0,127747,127105,127163,126901,127682,126451,393222,383555,884691
1,125461,125950,125203,125516,125015,124694,379768,380838,894723
1,126649,128962,128094,126716,124780,125447,381410,379788,889989
0,126753,125522,125851,129684,124611,124339,379292,380786,886073
0,127159,128176,126771,129206,126273,125731,379202,378717,898720
0,131496,130772,126644,127218,124150,124342,378764,378402,886260
0,125186,125669,127369,126422,124746,124493,378521,381464,886014
0,125876,125431,125295,125614,123941,124297,378309,377848,882635
0,126024,125336,126272,125242,124040,124538,380922,378945,885409
0,125853,125397,125781,125690,124123,124590,378034,377689,885261
0,125720,125338,125812,125724,124298,124469,378211,377785,885378
0,125618,125222,125575,125440,124043,123900,378790,377049,883627
0,125230,125374,125174,125291,124503,124141,378909,378324,882078
0,125559,125580,125752,125741,124141,124590,383074,378161,882653
0,125730,125180,125395,126250,124186,124033,378436,378079,884254
0,125104,125069,126004,125165,124232,124398,378441,378163,882415
1,125726,125149,125684,125838,124039,124455,378301,378281,894999
0,125751,128127,126577,126764,124166,129075,388558,381697,886833
0,125978,125697,125661,127399,124650,123873,381221,388336,899645
0,126382,127174,127228,127761,125363,126736,386584,390363,906808
0,125815,125932,127035,125588,127292,128446,387393,391056,904641
0,126595,127869,126393,129420,125594,125878,390105,389414,900523
0,126517,126541,132722,132900,130583,127012,383777,382820,894167
0,126987,126097,126410,127989,128429,125888,386487,390272,889433
0,126084,126105,125986,125612,124895,124884,379060,378952,884226
0,125959,125837,126394,126001,124380,127933,389205,381947,883378
0,125619,125544,125510,127792,124100,124336,378430,378564,883055
0,125185,125903,125543,125823,124033,124106,379150,378449,883636
0,125626,125551,125369,125529,123858,123876,378917,377375,883107
0,125774,125364,126464,125655,124803,124446,378092,380278,900584
0,126718,126387,126558,126612,125288,125202,380850,381166,891216
0,126606,126371,126559,126279,124810,124850,380288,380353,886996
1,125245,125479,125861,125340,124152,124704,380748,392352,901042
0,125705,125358,125480,126384,125000,123902,378620,378239,884037
0,125066,125645,127480,127604,124170,124314,377807,378468,883687
0,125988,129836,128065,126587,124720,125703,380432,377629,884482
0,127103,128610,127912,128560,125856,125790,379488,384317,895179
0,126539,125750,126533,125375,124296,124182,379266,379716,885052
0,126237,128345,125898,125873,125274,124421,378693,378613,884666
0,125239,125382,126087,125298,123877,124498,380446,378145,883332
