NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
4,419493,409495,411813,411560,414438,403832,1255465,1224360,2878743
1,409211,409018,407083,408803,401969,403823,1220378,1217033,2854023
1,406125,407902,406314,405093,402413,400836,1226233,1214547,2836771
1,404663,405008,405047,406664,401823,401341,1214805,1221382,2834248
1,407453,405063,405378,408063,402209,410500,1219911,1214004,2885082
1,427131,426966,423326,426363,420753,417543,1291285,1255624,2916945
1,414763,405090,405136,406912,401921,401467,1220398,1215954,2838217
1,413441,405622,405548,406079,402295,401850,1213686,1212739,2830219
1,405347,405395,404338,404931,413283,404060,1213979,1213216,2835677
0,406369,411926,405087,405720,401154,401425,1244949,1258654,2938009
1,425518,413091,410448,409625,409915,406912,1233329,1253945,2899230
1,418662,410450,418818,421488,418358,417024,1259835,1227141,2835842
1,406915,405904,406385,404948,400933,405364,1239278,1241039,2868040
1,407529,420072,408122,406129,412518,411159,1223457,1229768,2876708
1,410219,411317,409161,412114,404033,407135,1241555,1243396,2911288
1,412466,409801,414152,411642,402143,414062,1227846,1263737,2869114
1,409599,407021,405071,406059,401141,401291,1214018,1213614,2835963
1,405365,409326,409190,405561,400702,401020,1212975,1214522,2836007
1,405477,405550,405160,417997,402823,401161,1212793,1213428,2830191
1,405991,408137,404368,405193,401495,405812,1216788,1213181,2837849
0,404951,404365,405363,405114,400805,401500,1212589,1212816,2830980
0,405114,406015,405425,405880,408414,402180,1212029,1213066,2831469
0,405240,404611,404694,406362,400774,400910,1230669,1216062,2848474
1,405566,405179,406495,405661,400710,406176,1228935,1219529,2846747
1,409699,408651,406960,406209,406459,404149,1219401,1220751,2845213
1,408662,408265,407382,407957,403226,403269,1228387,1219731,2891187
1,413007,410950,411199,411683,409610,406575,1276820,1231069,2878103
1,408472,407803,406908,407570,404452,403713,1219928,1221007,2846813
1,407705,407089,407481,407164,403398,403729,1234151,1220105,2837877
1,405273,405753,405815,406165,404602,400792,1217158,1219353,2830125
1,404603,404975,405296,409797,400956,404375,1213328,1234498,2837730
1,405358,404720,404894,406797,402779,401234,1214610,1221141,2833281
1,404389,404802,405080,407631,402632,401150,1217430,1218734,2839862
1,407993,406661,407495,405646,401122,401932,1215203,1223046,2834549
0,405096,405053,404698,405478,400599,403206,1218234,1215275,2845355
1,408701,404563,405796,405012,403158,402155,1219185,1218551,2836225
1,404964,407614,405242,405719,401617,402526,1217424,1216168,2839700
1,406522,405624,404646,406382,402441,400798,1223584,1214361,2841806
1,405916,406389,406180,405683,402426,402546,1216253,1216352,2839779
0,407091,406657,405403,406863,402036,401562,1219714,1217864,2850344
1,405961,407119,408471,405741,401261,402286,1216361,1213242,2842057
1,405187,406814,405941,406512,404410,401382,1214467,1216369,2832482
1,406735,405500,404900,409564,403054,400765,1218600,1220221,2817442
1,403833,408094,409873,405362,403387,399522,1207607,1216512,2836048
1,402991,403167,405937,410549,399117,399052,1220612,1215579,2825027
1,404755,406222,405818,408004,401903,401905,1217862,1219244,2842835
1,404431,405231,405156,406727,402557,401319,1211990,1211154,2846366
0,405716,410430,410699,409936,399073,399239,1221787,1229965,2855124
1,410494,410519,410483,409967,406904,400298,1210534,1210549,2844946
0,406094,404748,405796,405562,402240,400196,1216785,1207612,2838449
1,403116,403152,403015,410526,399496,399121,1207434,1211938,2851589
1,402953,403039,403126,403495,399022,403099,1225924,1217385,2836939
1,405358,405472,405927,405098,402766,402550,1216146,1216857,2842332
1,406379,403666,405876,407729,402735,399635,1225613,1219360,2834567
1,404534,405149,404908,406367,404304,401324,1219898,1214814,2835187
0,407436,406817,405450,405463,402749,402577,1214346,1216133,2847426
1,406549,406760,406279,406960,405137,405501,1229314,1208679,2821976
1,405111,405449,404402,404634,403137,400343,1217036,1216463,2841205
1,405073,403683,403316,405273,402615,403626,1207891,1216532,2841124
0,407414,402965,406786,405551,402627,399064,1217909,1207552,2837265
1,407083,404463,405786,408997,403072,402813,1216840,1211576,2824071
1,403119,403029,403838,410284,404124,402877,1221092,1216992,2840373
1,406380,405820,404880,405359,404598,400180,1218018,1230298,2885176
1,408007,406074,404343,404058,407312,403342,1226665,1221484,2868408
1,405145,403228,404373,408583,408124,406611,1232529,1216515,2844075
0,406755,406785,404273,403986,401353,401419,1223905,1232756,2835326
1,404596,407809,407670,406015,402055,402334,1213635,1208996,2829416
1,407803,404420,403990,403849,400139,400382,1215339,1213937,2857199
1,409993,410510,410122,410024,406511,406870,1226810,1229441,2864108
1,404031,403644,405148,412534,407088,399034,1214349,1209075,2834525
1,404020,403476,403173,403273,399276,399428,1211533,1211189,2828217
1,405178,406197,405912,407292,401499,399550,1207327,1207130,2829964
0,404168,404414,409740,406045,400137,399170,1210753,1208686,2864711
1,410524,404060,407974,407837,416940,406735,1224188,1224381,2826898
1,403695,405390,409462,407743,399019,401342,1222715,1220323,2841083
1,403699,413347,403862,403079,402092,403415,1211319,1213595,2847782
1,407896,407875,406990,407691,401730,401306,1218619,1208354,2861451
1,407993,407074,428984,414219,405669,406750,1233543,1219496,2865989
1,410410,410863,409634,413742,406490,400132,1223782,1217770,2859062
1,409986,406540,403672,403541,403977,399712,1218368,1225438,2858731
0,409534,406819,409420,408425,404843,402387,1225312,1225146,2853289
