Multiplication times two,Division by two,Relinearization
3453,1591,1826
3598,1711,1925
3407,1676,1737
3269,1571,1782
3617,1716,2047
3437,1726,1851
3479,1687,1742
3524,1628,1868
3510,1523,1647
3290,1603,1775
3437,1583,1792
3392,1640,1837
3365,1605,1734
3329,1648,1852
3746,1709,1891
3506,1568,1718
3382,1587,1794
3470,1626,1919
3378,1645,1956
3327,1528,1764
3460,1595,1753
3414,1526,1812
3438,1557,1740
3381,1631,1819
3340,1514,1985
3199,1578,1873
3438,1640,1791
3406,1662,1928
3310,1484,1926
3643,1644,1887
3691,1646,1923
3446,1622,1973
3607,1698,1850
3741,1678,2108
3690,1573,1880
3444,1612,1739
3557,1632,1839
3395,1525,1928
3498,1535,1841
3343,1522,1998
3417,1563,1831
3308,1557,1792
3542,1542,1828
3279,1586,1888
3519,1577,1866
3365,1575,1816
3420,1654,1873
3487,1580,1842
3495,1563,1825
3419,1721,1826
3428,1576,1807
3300,1524,1861
3428,1537,1811
3521,1578,1791
3595,1532,1898
3268,1548,1701
3359,1595,1913
3516,1691,1945
3771,1620,1770
3378,1578,1777
3598,1709,1941
3712,1667,1967
3636,1674,1925
3495,1700,1935
3702,1726,1765
3483,1558,1813
3339,1561,1764
3546,1772,1969
3375,1632,1925
3346,1563,1969
3410,1595,2038
3462,1580,1877
3699,1601,1786
3326,1543,1808
3605,1660,1778
3457,1601,1921
3350,1604,1878
3425,1545,1987
3424,1529,1821
3441,1550,1873
3345,1595,1777
3403,1606,1958
3366,1546,1917
3368,1595,1774
3595,1580,1847
3521,1522,1863
3725,1620,1993
3549,1561,1861
3349,1617,1971
3440,1588,1899
3497,1599,1775
3364,1533,1779
3474,1506,1930
3359,1540,1814
3430,1533,1819
3516,1653,1796
3476,1465,1968
3325,1621,1773
3529,1505,1841
3306,1552,1797
