Multiplication times two,Division by two,Relinearization
32527,8358,24461
29841,8167,23580
29885,8177,23054
40018,9449,22120
31476,8835,22784
30267,8303,22064
30208,8489,22264
29981,8119,22075
30479,8159,22696
31953,8136,23049
30659,8211,20866
30344,8143,22065
29681,8199,25072
31113,8305,22334
30835,8369,22243
29950,8183,22362
29806,8214,22355
29164,8131,22968
29689,9522,22361
29970,8152,21995
29549,8262,22264
30482,8409,21982
29652,8254,22372
29563,8216,22303
29595,8223,22403
29685,8216,21892
30555,8261,22537
29429,8064,21872
29421,8267,21824
29701,8891,22414
28925,8110,21726
28891,8128,21826
29759,8096,22335
29812,8261,22246
29970,8253,21968
29585,8284,21697
30292,8248,22767
29821,8228,23659
30111,8271,22266
30060,8185,23080
29495,8193,22375
29037,8160,22469
30101,8182,22204
28900,8098,22053
29648,8152,22365
30576,8016,22377
29481,8316,21646
28983,8198,21781
29621,8087,22522
29490,8161,22371
29877,8211,21770
29887,8304,22923
29686,8211,22082
31266,8130,21500
29916,8055,23244
31651,8070,21561
29491,8057,21710
30101,8358,22338
30022,8135,22522
29607,8121,23114
29242,8085,21874
29711,8079,21660
29892,8208,22669
29167,8191,21833
29536,8378,22497
29743,8199,21266
29288,8259,22381
29846,8170,21917
30293,8155,22562
30314,8212,22202
30249,8142,21754
29716,8148,23081
30945,8101,22070
28967,8081,22646
29641,8005,22057
28730,8211,22209
29753,8245,22007
30534,8464,22066
30186,8074,21720
31473,8225,23508
29757,8349,22256
30154,8128,22286
29725,8167,21734
29055,8203,21654
29853,8206,22149
30361,8417,21905
30786,8153,22031
29458,8178,21736
29342,8131,22068
29516,8128,21875
30393,8232,21670
29523,8139,22635
29969,8198,22737
29327,8648,22283
30568,8127,21439
29397,8043,22207
29163,8178,21471
30037,8146,22234
29864,8275,21800
29747,8187,22453
