Multiplication times two,Division by two,Relinearization
31304,8480,23279
31508,8341,20896
29937,8189,21271
33919,8164,22709
30945,8386,22730
30610,8490,21680
29967,8112,21727
30623,7978,22786
30459,8705,22779
29589,8672,23884
28759,8197,22418
28976,8041,21816
29233,8315,21986
31880,8543,22986
29343,8301,22023
28938,8158,22693
29335,8253,22588
29307,8252,22464
30211,8270,22136
30795,8221,21586
29891,8053,23735
30175,8030,21627
29453,8072,22145
29428,8131,21583
31706,8098,22379
29762,8342,22205
29554,8142,21454
29855,8215,22209
29495,8062,21642
29016,8129,21779
29437,8083,21519
30073,8123,22023
29940,8047,22229
29548,8152,21888
29777,8081,21834
29885,8061,21520
29368,8039,21969
29584,8141,22499
29605,8088,21365
29800,8369,22324
29523,8137,22152
30138,8071,21842
29273,8132,21733
29622,8142,21835
31075,8087,21683
29345,8110,21455
29565,8138,21625
29228,8128,21179
29729,8080,22406
29772,8067,21762
29416,8200,21998
29770,8167,21968
29389,8077,21322
30042,8053,21409
29506,8151,22254
28714,8144,22070
29516,8011,22119
29589,8665,22067
29176,8133,22640
29582,8210,21697
28684,8074,22206
28910,8042,22771
28821,8064,21998
29439,8183,22556
35657,8091,21403
29548,8115,22615
29828,8131,21977
30283,8080,21508
30354,8065,22071
30084,8436,21732
30230,8499,21907
29544,8158,22045
29574,8163,21738
29554,8302,21985
29858,8201,21459
29864,8110,22337
29542,8164,21844
29837,8133,21666
29456,8155,21885
30265,8060,22019
30186,8160,21255
29864,8097,21251
30221,8211,22523
29553,8237,21444
30352,8171,21264
29989,8131,20947
30109,8101,21036
30395,8064,21326
30488,8125,21218
29754,8044,21343
29533,8185,21748
30096,8003,21488
30137,8173,21317
29999,8175,21485
30309,8165,20815
30256,8512,22267
29291,8081,21892
29988,8016,21184
29748,8085,21759
29024,8225,21993
