Multiplication times two,Division by two,Relinearization
33421,9179,22991
30208,8178,22404
29706,8132,22372
29659,8230,21990
29741,8230,23723
30070,8021,22668
29224,8087,21554
28803,8164,21346
31158,8201,22573
29730,8217,22239
29905,8138,21390
31234,8252,21276
30565,8232,22061
30142,8131,22231
29585,8160,21903
29661,8214,21602
28789,8067,21420
30132,8217,21070
31016,8279,21033
29807,8161,21463
29890,9072,22515
31636,8153,22109
31495,8220,22076
30295,8212,21151
29727,8218,20952
31173,9184,21724
29906,8721,21064
30699,9011,21385
30702,8169,22101
30186,8168,23399
31270,8933,22294
30071,8713,22596
30278,9796,23605
29053,8276,23429
32182,8900,22196
31554,8347,21267
30559,7988,22426
31544,9710,23196
29692,8920,22744
30920,9004,25069
31239,8146,24251
29929,8430,22690
36337,9591,25761
35072,9929,24868
33846,8241,23109
31280,8262,23029
29585,8817,23357
32722,8890,24227
32506,9027,21561
29777,8699,23273
30793,9134,23952
30031,9479,23563
31848,9246,25436
33181,8081,23237
31913,8255,23687
31842,8132,21309
33371,8177,22498
31760,8406,23605
31196,8180,21216
31887,8222,23066
30222,9155,24067
34050,8181,23581
31029,9555,22897
31465,9017,22757
31034,9203,22183
33304,8448,22738
30887,8203,23554
31539,8796,22856
31660,8663,23612
29826,8289,22879
29813,8873,21835
31192,8811,24979
32733,9409,23010
29113,8308,23819
29965,9071,25054
31353,8571,24578
31734,8136,22528
29993,9065,22487
30787,8681,23570
30904,9071,24210
31018,8168,25355
30793,8086,23390
30556,8175,22578
29695,8511,30729
33941,8476,22274
30329,8248,23366
31049,8865,22906
30270,9041,23364
31013,8166,21374
31862,8171,22178
31231,9042,23933
29849,8207,24658
31346,8186,21771
31501,8154,22854
31095,8310,23850
32641,9012,24764
30775,8138,22108
31481,8213,24564
31979,8806,23641
30668,9339,21399
