Multiplication times two,Division by two,Relinearization
32361,9036,22284
31221,8653,22494
29291,8223,21589
43254,9532,22059
30042,8653,23120
29307,8089,21346
29769,8169,21343
29402,8096,22167
29835,8468,22656
29749,8334,22622
29462,8309,21912
29474,8131,21478
28980,8122,21747
32241,8639,22244
36255,11246,25384
30023,8374,21221
29251,8226,21963
29646,8144,21234
29435,8258,21892
29477,8446,21341
29271,8063,21479
29926,8262,21239
29786,8373,22086
29540,8067,21456
29479,8139,22027
29022,8267,21520
29023,8241,21420
29295,8109,21648
29026,8182,21209
30078,8332,21544
29397,8159,21470
29000,8596,21614
29540,8200,21315
29629,8126,21046
29247,8240,21081
30312,8220,21570
29392,8060,21462
28966,8224,21712
29283,8330,22523
28980,8195,21402
29924,8136,21600
29316,8181,21378
39825,9812,22975
29124,8311,22137
29431,8078,21505
29688,8168,21700
29219,8251,21156
29176,8127,20990
29663,8263,23303
29134,8156,21465
29512,8196,21586
28840,8179,21503
29367,8174,21279
29460,8066,21401
30127,8183,21806
29780,8114,21988
29799,8208,21425
29451,8053,21241
29330,8153,21400
29536,8169,21021
28967,8121,21014
29840,8323,22021
29814,8164,21682
29279,8233,21508
29976,8293,21649
29483,8213,21530
29818,8156,21464
28661,8118,21820
29289,8259,21868
29779,8375,21526
29322,8149,21187
29819,8181,21979
29119,8110,21408
29188,8136,21052
29319,8269,21647
29420,8206,21146
29475,8095,21659
29579,8052,21550
29343,8333,21640
29233,8158,21203
29727,8242,21523
29350,8147,22081
29608,8168,21374
29166,8132,21565
29393,8042,21717
29375,8091,21822
29087,8165,21098
29317,8160,21531
29130,8164,21899
29476,8197,21286
29368,8250,21599
29222,8155,21472
29089,8032,21169
29349,8216,21112
28785,8148,21984
29365,8082,21531
29405,8176,21360
28953,8198,21945
30103,8136,22023
29937,8053,22129
