Multiplication times two,Division by two,Relinearization
3605,1612,1891
3406,1638,1934
3561,1607,1822
3560,1832,1865
3462,1670,1797
3362,1563,2026
3521,1686,1808
3397,1587,1775
3426,1567,1833
3520,1581,1771
3491,1555,1894
3511,1626,1892
3542,1527,2019
3524,1612,1889
3329,1573,1819
3272,1604,2009
3378,1643,1911
3382,1580,1737
3493,1514,1781
3332,1564,1785
3434,1594,1814
3244,1556,1839
3251,1590,2003
3399,1559,1852
3485,1574,1946
3474,1594,1830
3394,1537,2030
3365,1566,1909
3617,1502,1811
3319,1467,1837
3379,1534,1789
3533,1586,1811
3524,1678,1793
3376,1442,1815
3372,1701,1877
3561,1555,1931
3386,1504,1983
3477,1619,1947
3340,1549,1945
3580,1544,1865
3338,1536,1928
3821,1679,1970
3671,1602,1881
3524,1570,1986
3317,1571,1895
3528,1574,1951
3534,1605,1916
3361,1580,1963
3379,1608,1933
3237,1488,1735
3351,1612,1794
3487,1604,1976
3504,1513,1885
3612,1601,1833
3238,1518,1701
3347,1541,1816
3381,1717,2071
3506,1689,1662
3651,1568,1864
3493,1603,1898
3514,1581,1908
3505,1552,1850
3379,1692,2136
3364,1588,1734
3539,1583,1920
3301,1613,1832
3475,1582,1878
3483,1571,1881
3393,1607,1889
3312,1596,1873
3507,1584,1816
3318,1498,1806
3731,1537,1865
3695,1694,1787
3479,1568,1803
3587,1664,1878
3631,1533,1910
3307,1569,1888
3433,1688,1871
3610,1549,1885
3399,1585,1877
3427,1586,1752
3293,1594,1839
3267,1580,1898
3357,1515,1847
3334,1557,1674
3316,1596,1725
3390,1523,1955
3325,1658,1782
3334,1610,1889
3333,1618,1729
3335,1609,1944
3333,1597,1849
3290,1593,2020
3469,1587,1935
3351,1599,1821
3435,1620,1798
3292,1581,1819
3290,1611,1826
3460,1597,1840
