Microseconds
208219
211011
209084
205495
201992
197264
200329
199019
197550
196295
195720
202476
195205
194336
194417
193127
193875
193795
193003
194576
192849
194001
199160
194795
194052
194290
193514
194086
196239
193817
196982
196990
199185
194849
193715
192513
194622
194251
192014
194597
199837
201747
195683
194759
192881
197232
198005
194570
193870
193360
197408
195986
193751
194386
192054
194021
194115
192875
193613
194007
192744
195101
197638
196979
199955
201950
201470
199224
209287
204015
195318
195613
197511
200399
200499
198603
195012
197449
210145
199672
200831
199359
197118
198497
198418
198532
196788
197416
197892
198113
201135
198374
198023
199217
197321
198144
198581
193475
193839
192796
