Size 1, Size 5, Size 10
579,534,777
639,573,584
582,602,623
579,632,629
583,592,598
605,597,678
672,619,618
598,573,565
693,603,585
573,562,663
860,618,653
603,623,739
636,702,687
661,656,713
649,651,680
805,672,669
714,687,651
618,601,620
575,600,636
588,620,637
621,564,571
577,613,605
593,660,572
606,613,573
577,546,615
569,598,612
605,578,594
625,620,681
632,609,568
579,616,662
618,590,604
606,622,591
576,604,592
622,591,595
627,605,608
581,596,609
586,582,628
628,605,631
532,629,612
556,600,563
644,602,646
627,649,576
597,617,545
590,613,570
600,646,572
644,591,640
616,600,590
573,648,605
598,613,579
590,605,642
617,589,638
602,608,588
614,614,580
632,655,601
619,634,589
685,584,549
575,626,594
616,617,630
568,626,640
611,616,601
596,585,633
593,654,578
590,542,658
612,557,648
560,585,585
664,619,580
590,613,553
625,586,554
603,594,559
635,667,550
601,632,582
562,592,595
599,617,580
624,614,589
636,561,596
594,620,600
543,633,576
602,592,630
609,641,608
588,614,589
584,611,621
577,634,581
585,588,637
592,613,582
564,621,626
620,575,584
579,583,633
594,545,572
596,620,614
616,612,597
589,653,582
605,533,626
589,616,614
603,651,621
567,600,602
581,590,582
625,583,625
633,565,605
602,622,587
596,597,644
