Size 1, Size 5, Size 10
1027,734,580
684,588,598
629,660,624
574,653,656
613,647,635
669,638,645
618,624,637
597,596,646
633,596,565
636,602,659
626,616,638
615,594,553
587,607,638
585,579,636
706,669,691
665,620,684
660,712,690
686,712,630
716,658,723
649,610,587
595,531,639
639,611,615
582,605,661
576,621,672
621,620,600
582,597,610
601,638,614
620,576,586
612,671,586
550,615,611
616,585,570
590,589,618
658,621,627
685,611,603
596,573,590
581,588,601
589,587,607
626,608,576
586,593,598
615,622,586
637,572,646
604,584,568
622,588,588
665,619,617
645,568,611
694,587,574
628,646,558
646,643,548
622,640,602
628,630,623
628,595,628
648,649,609
624,584,597
630,571,588
624,572,644
613,611,616
608,580,653
552,630,644
654,574,614
611,578,587
579,618,561
599,561,586
623,653,593
626,589,601
688,589,663
583,619,623
579,620,602
563,597,616
623,646,616
665,620,635
604,597,634
611,589,561
606,614,551
645,618,625
616,584,603
565,613,635
581,619,614
612,606,629
619,574,600
624,581,628
567,622,550
667,622,654
568,604,647
598,577,674
604,649,607
571,614,589
561,598,631
638,591,670
635,588,602
630,649,604
597,633,609
618,579,563
630,605,570
567,628,609
598,624,610
584,608,580
655,570,574
574,616,581
595,634,582
617,609,1057
