Size 1, Size 5, Size 10
588,568,683
598,642,643
688,666,624
581,634,600
667,690,622
630,636,655
612,614,651
617,625,631
625,643,602
626,637,638
660,660,728
610,620,666
617,658,658
639,594,620
650,594,641
597,597,643
656,634,618
622,649,591
592,554,628
648,608,598
587,563,625
609,591,595
645,588,602
622,601,581
639,628,620
601,603,621
641,628,615
582,626,546
688,606,595
644,655,544
678,605,606
554,546,598
640,631,619
600,617,588
593,592,575
630,614,638
615,644,646
631,632,673
579,639,664
571,598,552
628,589,689
659,585,580
636,597,591
643,634,601
618,646,556
625,591,647
662,645,650
563,593,578
618,627,596
608,588,605
627,664,618
609,620,655
658,622,600
602,601,654
561,614,573
587,627,619
640,594,600
657,594,626
585,707,667
682,569,589
570,575,654
638,557,600
687,636,611
646,589,563
663,623,629
625,598,643
650,653,616
626,537,645
648,590,592
598,581,603
575,653,638
548,558,575
634,612,616
658,637,600
604,605,644
641,587,549
653,637,624
618,634,658
560,607,576
639,707,569
586,683,615
607,600,579
667,626,614
588,646,605
631,574,641
621,634,596
648,669,677
640,616,673
588,631,627
665,594,691
615,608,638
606,575,607
601,633,608
582,564,625
575,601,571
644,580,631
584,581,658
589,631,568
618,664,618
620,600,632
