Size 1, Size 5, Size 10
188,102,134
143,99,173
162,164,115
123,127,133
121,134,120
120,128,127
111,127,136
156,125,132
133,159,174
115,170,183
201,161,143
105,195,98
164,160,115
136,183,124
127,137,133
113,140,154
112,105,136
128,123,165
129,114,121
134,125,174
137,109,95
93,96,123
86,99,79
77,87,80
84,79,80
78,104,82
76,94,86
81,93,74
73,75,76
98,79,109
83,82,101
81,95,79
97,104,87
81,77,83
100,98,71
91,75,76
83,78,101
80,84,165
122,127,129
103,96,92
89,95,78
113,79,79
93,97,75
77,78,99
87,99,106
72,93,73
76,78,77
80,82,75
100,76,78
92,106,92
85,98,75
74,100,76
76,76,78
99,96,81
98,85,92
76,73,101
75,80,75
73,76,95
101,76,82
70,96,98
75,74,77
90,81,94
109,107,110
90,77,90
115,100,77
77,76,77
87,75,86
80,77,148
183,133,87
105,100,113
166,133,163
144,130,147
176,136,157
139,129,178
146,159,105
182,117,138
119,129,138
177,145,130
127,150,99
122,128,160
118,125,116
164,155,125
130,99,141
116,118,167
151,146,99
163,103,130
135,107,103
123,131,131
127,116,138
175,138,118
119,126,102
167,197,117
126,188,125
128,135,101
104,92,108
109,74,79
77,105,92
101,79,105
78,109,88
86,100,81
