Size 1, Size 5, Size 10
159,171,130
197,129,137
186,164,109
142,208,125
115,132,169
165,131,213
96,127,124
100,122,123
160,160,120
139,141,130
114,158,133
151,145,131
102,86,88
117,83,102
77,96,78
78,96,106
120,96,104
88,74,80
81,113,81
121,82,100
99,104,77
75,89,103
76,76,75
87,108,74
109,100,91
124,104,98
93,145,76
94,80,76
92,78,98
96,81,102
117,76,142
128,99,97
90,88,93
93,101,103
111,79,88
89,74,99
93,80,81
93,78,101
101,77,77
89,137,89
92,80,108
93,107,97
109,92,96
133,92,110
117,95,80
95,100,157
82,99,101
103,82,88
111,97,115
82,78,97
83,109,114
86,102,94
85,76,76
97,76,88
93,98,87
78,108,83
88,94,88
115,144,74
91,103,92
81,113,94
79,75,63
84,78,88
130,89,79
80,74,76
77,75,90
96,75,98
98,94,83
98,101,86
106,75,110
109,86,97
108,77,118
100,103,103
91,133,100
113,99,90
89,125,77
78,77,91
84,78,93
98,77,129
78,76,98
100,106,105
110,80,79
107,83,83
79,77,85
82,72,123
122,112,79
85,105,116
86,61,118
98,77,75
116,79,90
75,77,88
71,87,112
84,106,73
98,89,76
82,82,78
96,78,77
78,73,79
79,131,156
128,123,129
186,156,164
184,116,125
