Size 1, Size 5, Size 10
192,159,201
184,128,123
211,112,143
148,170,115
112,170,130
136,130,199
222,162,160
173,139,185
140,152,131
146,146,164
158,107,122
140,122,124
122,124,100
163,128,132
134,119,124
107,160,126
156,126,109
107,132,131
194,129,124
126,97,98
124,94,93
99,95,93
88,112,103
81,92,88
129,85,108
134,111,102
81,113,94
110,80,103
101,77,80
87,115,87
107,89,108
110,109,91
90,123,94
113,77,91
109,82,74
117,98,78
105,101,78
99,109,77
92,122,86
84,85,97
74,78,118
93,78,100
95,77,88
97,79,86
99,81,103
81,93,81
76,107,77
104,103,81
103,104,78
87,97,108
100,78,99
96,77,77
113,91,82
76,113,99
81,80,101
77,76,78
80,99,77
77,79,79
100,97,105
77,87,78
95,101,79
111,78,112
107,89,103
86,79,89
103,77,76
83,94,87
88,100,79
113,90,96
86,81,75
100,117,107
99,93,102
90,96,110
88,90,80
82,129,108
78,102,82
100,102,76
89,85,81
75,76,76
77,76,99
86,82,83
96,114,86
99,77,112
136,83,72
85,99,77
99,78,75
114,87,108
117,78,102
80,79,86
78,85,77
77,81,93
112,102,78
109,107,111
81,86,103
83,92,85
95,99,79
107,78,101
96,89,100
81,76,91
76,84,75
76,100,79
