Size 1, Size 5, Size 10
120,165,89
182,192,173
152,135,112
102,63,68
60,78,65
62,59,80
64,62,71
80,61,59
64,60,60
62,60,63
67,60,63
58,79,58
88,51,65
63,56,55
51,61,90
106,92,92
167,48,64
63,63,60
62,60,59
63,91,49
60,59,59
59,58,62
62,60,65
59,63,63
62,76,86
61,59,62
74,61,62
83,62,59
60,59,57
61,60,59
59,75,64
58,60,58
58,58,63
59,59,60
60,61,60
60,60,60
61,60,76
59,61,81
59,61,60
59,62,60
60,62,59
62,58,62
59,61,60
60,59,63
74,62,63
60,62,60
59,59,59
66,61,59
61,60,61
58,62,60
59,60,61
59,57,58
59,61,57
62,58,60
59,59,60
60,59,58
63,66,65
61,109,119
116,126,118
107,110,87
145,100,146
115,108,101
73,69,67
58,60,47
110,115,82
88,63,78
61,58,73
57,58,57
58,59,47
64,53,55
73,57,62
65,76,62
51,56,62
64,43,51
49,58,55
55,56,73
45,65,60
58,56,58
57,59,64
57,47,62
62,55,57
56,57,54
58,56,56
56,55,56
57,57,57
47,60,57
57,56,56
56,55,56
56,58,55
56,56,57
54,56,56
73,58,57
56,56,57
57,51,57
56,58,73
76,56,57
55,69,52
62,58,76
56,57,58
64,69,59
