Size 1, Size 5, Size 10
218,156,172
255,151,178
158,188,142
156,153,155
131,124,164
140,188,149
135,173,148
232,170,154
151,150,132
144,149,167
150,151,200
149,154,178
153,141,161
143,146,239
137,172,145
148,142,150
149,151,142
116,148,148
113,125,142
158,169,147
146,142,128
114,130,141
114,134,132
125,173,111
125,128,116
138,198,141
132,151,176
145,163,146
149,138,131
136,138,152
157,154,152
156,157,148
141,147,180
151,152,194
141,134,175
144,157,222
146,152,134
151,153,147
183,140,148
145,154,152
144,165,220
149,127,158
149,150,147
143,142,139
140,147,144
170,169,159
121,204,197
149,131,211
145,164,162
172,159,141
175,141,126
156,156,113
179,149,147
166,156,147
167,145,136
142,179,169
143,154,140
151,211,149
195,127,161
181,133,144
240,153,149
143,193,138
176,164,159
153,146,147
150,151,149
147,184,127
148,146,155
139,163,158
170,150,152
163,145,234
147,147,147
163,192,220
214,142,165
218,182,151
213,144,156
115,186,197
135,138,135
147,142,154
166,146,162
153,174,166
146,239,143
151,176,160
150,137,177
163,158,131
147,151,154
151,139,136
143,145,146
149,155,149
136,150,156
147,148,138
144,146,144
149,180,145
135,145,146
133,141,164
204,149,144
229,144,127
141,152,138
144,149,184
159,152,157
147,142,142
