Size 1, Size 5, Size 10
253,211,237
219,198,191
198,165,180
179,183,163
182,196,182
198,180,195
190,184,199
197,200,204
223,189,187
189,200,200
198,191,180
193,185,185
184,194,263
203,199,319
187,208,189
235,181,194
197,176,189
187,238,232
182,221,182
202,189,178
191,171,207
210,184,196
190,214,208
211,212,201
183,178,223
191,174,184
183,188,193
173,189,180
189,188,200
182,181,182
196,208,214
195,239,192
202,232,208
208,243,203
184,187,190
190,183,190
190,193,194
202,212,193
217,190,187
198,185,187
198,201,186
210,204,214
199,199,198
190,208,183
198,207,185
200,192,178
197,192,201
192,209,191
191,211,209
176,181,167
183,189,217
231,187,187
194,184,192
185,184,185
179,186,187
184,187,187
181,209,204
202,176,185
181,184,192
170,207,224
218,177,174
195,175,185
177,185,165
181,171,170
191,189,172
175,195,199
184,194,186
177,180,175
205,178,196
225,203,192
188,176,203
231,187,182
185,203,187
177,185,194
161,210,207
190,181,221
200,234,187
210,200,186
208,195,187
191,207,198
201,200,234
191,207,209
186,219,191
222,194,214
214,198,186
206,196,224
203,193,184
189,195,194
187,193,199
184,200,189
232,311,228
190,181,180
189,203,179
188,206,185
185,184,175
191,193,173
191,209,193
177,196,180
184,217,183
206,194,178
