Size 1, Size 5, Size 10
129,94,70
68,75,58
75,48,63
59,79,76
62,70,51
63,80,65
59,61,63
63,62,59
63,61,59
60,62,61
61,78,64
80,62,59
61,72,57
56,58,63
61,59,57
50,90,61
73,60,63
54,53,67
65,76,62
60,53,87
62,79,52
76,51,63
60,80,62
59,79,50
57,59,61
72,60,59
62,64,67
87,61,62
64,63,62
63,59,62
59,58,61
62,59,59
59,60,59
59,61,62
61,59,60
60,71,48
62,59,58
60,61,61
61,61,79
62,57,63
58,60,61
60,61,57
57,60,59
61,59,58
70,71,65
58,59,62
93,67,82
62,60,65
65,49,81
50,81,64
63,63,64
88,62,83
60,47,57
60,61,59
59,59,58
57,59,58
49,62,59
61,59,59
63,59,58
58,59,58
62,57,57
61,60,61
57,62,59
57,59,60
60,59,61
57,58,60
61,59,64
61,44,127
117,126,127
83,111,70
63,84,48
60,59,62
59,57,59
61,57,60
60,57,60
60,59,67
60,62,58
61,58,58
60,61,60
58,58,61
57,56,58
59,60,59
60,56,60
57,61,82
69,60,60
58,49,63
59,66,51
60,61,81
65,69,70
87,73,59
60,60,64
62,60,64
63,59,61
60,58,71
55,59,50
55,51,51
50,51,51
53,64,50
54,61,50
52,53,50
