Size 1, Size 5, Size 10
126,186,93
160,126,121
112,123,112
94,116,129
96,85,117
122,105,80
113,111,117
86,70,68
59,82,46
60,84,61
61,47,80
51,50,51
59,60,110
115,108,106
90,80,64
61,60,60
59,62,59
60,60,61
78,48,65
64,59,65
46,60,58
59,60,59
58,58,58
59,57,58
59,59,57
59,60,58
61,57,59
57,58,61
56,60,57
59,61,58
58,79,61
49,57,61
59,62,60
59,62,60
59,57,58
61,59,60
65,60,59
61,59,59
68,83,86
120,117,109
116,100,98
78,74,93
110,78,130
95,114,93
100,105,119
134,83,105
102,88,85
65,79,67
59,67,58
58,59,65
60,56,61
51,73,55
61,107,58
58,58,62
60,59,61
59,62,60
59,67,57
60,58,58
59,61,61
59,59,99
117,58,50
60,50,50
51,53,51
52,64,73
54,50,52
72,62,78
195,107,151
100,173,171
110,81,73
61,71,104
97,61,60
59,61,59
61,67,75
46,79,82
71,75,63
73,77,61
82,54,86
85,55,71
60,47,52
75,63,58
74,51,58
56,57,55
55,56,58
56,59,57
708,252,262
177,111,112
113,153,81
91,90,112
92,128,93
72,69,62
69,49,66
59,56,56
58,73,60
61,57,56
74,48,63
60,55,57
67,47,56
73,57,58
56,57,60
57,47,56
