Size 1, Size 5, Size 10
128,83,118
84,130,116
134,93,108
106,89,95
100,82,102
101,105,108
110,75,69
73,50,66
61,73,52
58,73,49
63,58,57
61,56,73
46,49,83
55,57,57
56,56,86
63,60,58
59,67,72
61,73,70
66,60,51
85,50,79
47,64,75
75,54,81
62,82,80
53,77,60
123,110,66
52,55,63
51,57,57
57,63,66
60,54,57
56,57,56
55,57,58
60,65,60
58,57,77
59,71,46
56,56,57
73,59,59
56,56,55
56,59,102
70,65,52
76,109,82
67,62,62
64,68,59
62,58,60
56,60,70
68,81,68
59,58,77
58,57,75
59,51,55
56,61,67
59,61,111
47,74,67
83,60,65
60,81,63
58,57,66
50,64,47
49,65,47
53,49,55
61,67,64
74,60,58
62,56,64
81,48,57
65,59,95
62,69,108
74,56,56
71,54,67
65,67,51
50,69,62
63,67,57
67,51,61
68,76,62
70,54,64
84,66,59
70,49,58
62,58,59
58,73,59
61,59,61
57,62,57
59,59,61
61,60,62
57,60,52
58,61,57
59,60,58
75,70,46
61,58,60
58,60,59
61,58,77
59,59,57
59,80,80
64,66,62
63,62,63
78,62,63
64,62,60
65,64,60
58,59,59
58,60,59
60,57,62
60,59,61
57,59,63
62,68,84
60,60,61
