Size 1, Size 5, Size 10
179,157,194
146,146,230
151,162,118
124,161,100
221,185,128
120,166,115
171,122,107
137,104,101
162,224,140
157,142,156
140,123,121
150,128,112
112,112,112
104,114,141
113,122,138
118,151,113
115,131,113
100,153,957
161,160,157
156,145,138
147,165,147
145,167,151
150,204,324
155,151,153
203,179,157
187,141,158
154,130,147
143,156,153
160,162,124
140,172,153
170,192,139
153,147,162
152,146,150
151,160,180
150,150,156
142,147,239
146,154,176
193,140,140
157,160,147
231,168,154
221,138,147
174,150,126
155,133,198
144,120,148
146,142,146
152,148,215
156,124,154
137,141,150
161,125,150
150,153,162
144,122,205
163,142,160
149,151,147
149,159,140
147,171,149
193,169,162
182,154,146
147,152,145
159,144,147
141,175,147
147,150,151
162,151,145
185,152,154
148,145,150
144,152,182
153,141,177
149,141,182
129,140,136
145,146,140
136,145,179
142,152,169
108,147,150
147,156,204
146,161,168
180,156,148
120,176,198
174,135,202
188,161,197
168,164,134
140,151,152
146,149,145
153,181,137
142,182,144
144,146,150
132,140,183
216,179,137
137,170,175
163,125,148
168,201,240
124,152,151
143,142,149
124,153,146
142,170,151
151,153,144
151,184,146
152,155,252
163,249,179
182,637,283
326,333,204
186,161,148
