Size 1, Size 4, Size 8
986,675,602
1457,683,723
1165,1044,668
580,663,759
672,913,1236
594,1357,1143
1240,904,640
1267,652,1377
657,648,1161
635,646,673
964,668,587
630,640,909
932,641,599
567,644,1224
640,656,920
679,647,566
895,1272,1231
966,658,1088
670,914,1198
1309,651,558
919,688,602
626,1010,617
980,1323,616
593,1213,921
616,883,1409
664,1339,846
946,1151,1221
802,929,574
605,615,614
947,915,1266
648,1281,604
928,1458,592
656,1149,607
979,1011,617
1268,880,932
1091,919,623
616,1087,1029
620,572,1151
1084,850,1273
616,636,880
945,1041,586
551,937,584
622,611,873
721,893,619
646,897,1201
599,629,627
578,930,630
605,1178,1157
585,576,1121
1379,610,600
814,584,628
963,1163,1076
623,607,589
560,991,589
645,599,554
615,645,636
949,849,1160
715,656,1060
1274,618,641
1104,888,1123
1138,613,884
955,593,628
634,1136,1035
849,1186,1030
903,1132,618
973,1125,642
1532,600,597
875,1194,632
660,940,961
1087,900,610
623,554,577
969,634,988
593,668,1141
636,845,638
584,1092,1175
649,891,994
592,1125,848
945,619,572
577,1173,866
1138,606,607
545,611,1126
893,880,600
558,868,606
894,891,621
649,1397,605
879,621,622
619,655,936
1179,602,904
656,637,934
614,1205,601
966,870,960
628,555,895
1183,612,1233
623,874,642
945,1114,869
953,1420,627
903,870,975
634,1162,909
1264,934,592
828,648,1078
