Size 1, Size 4, Size 8
728,1322,1370
657,709,1000
1437,683,1199
681,653,672
662,1291,1238
633,588,639
609,632,627
624,599,664
637,1262,627
603,1293,1487
634,651,1275
1419,644,1479
640,1021,930
571,1280,963
1293,726,1254
851,1271,1376
579,604,978
1103,1140,1128
1420,606,601
1532,583,606
1145,1233,585
591,696,1207
657,1315,1135
793,1196,1025
1165,1199,1030
756,1250,1791
633,1024,1219
1372,654,974
674,620,925
1127,1183,1244
771,659,626
1263,1286,658
894,920,1151
688,951,1414
1337,643,974
1219,1241,1123
865,578,1138
625,1110,628
638,1195,619
778,1471,567
1138,1363,611
1508,623,591
891,591,587
619,1326,622
586,1220,626
560,667,1148
1215,1996,1712
637,1828,809
728,645,617
680,580,667
629,631,546
632,632,603
600,596,619
599,689,1287
723,716,830
712,677,708
643,672,606
1174,1618,622
643,911,588
712,609,620
628,587,712
1234,577,586
586,647,657
617,658,570
563,604,614
599,643,602
583,639,555
659,674,601
653,582,626
609,641,670
586,627,634
643,569,582
671,611,627
590,633,593
668,605,639
584,655,678
610,660,752
654,644,1342
633,628,675
576,637,586
644,635,618
618,634,658
606,669,683
662,624,662
624,667,618
638,694,590
619,630,634
605,555,639
617,538,667
632,578,631
664,644,596
606,625,641
654,660,638
652,642,715
543,616,681
620,579,614
618,591,604
601,623,594
587,632,641
589,655,615
