Size 1, Size 4, Size 8
1014,1146,693
651,942,1901
778,621,1715
1234,1226,2073
630,1057,2005
599,600,1247
551,552,1714
1137,567,1000
694,624,662
577,605,1628
705,1237,1034
1429,1024,589
1410,552,537
1248,601,692
1585,1531,575
608,1917,574
588,1492,1118
1089,1485,635
1549,1233,573
1095,637,592
899,616,1142
1174,596,645
1841,1777,1207
985,986,1139
578,530,994
1223,1431,1395
1379,664,603
589,565,848
738,1274,1553
569,580,1667
578,1112,1063
733,590,588
608,645,655
595,647,1327
610,979,866
678,607,1618
1591,577,574
1073,1318,699
635,591,1428
628,574,1532
653,707,1392
568,990,615
1496,1134,588
1019,1034,1043
616,1136,579
1636,673,1218
1796,916,1180
857,581,1056
643,1106,737
594,1004,610
567,1671,650
587,1008,897
1281,694,1048
1283,686,891
578,604,665
648,889,655
733,675,621
596,1532,610
875,1002,1380
1758,551,980
653,600,993
601,564,658
675,945,574
618,565,618
609,591,978
621,603,627
893,627,675
1488,606,590
1268,583,555
610,1715,692
911,883,747
1292,1371,852
944,1176,1468
594,1557,1291
590,1410,633
937,1646,1706
593,872,909
596,684,1624
619,563,1216
657,588,587
583,622,1387
1011,614,565
1498,652,586
959,1442,598
692,1039,582
552,608,588
985,577,1060
575,691,1091
559,987,563
1286,1133,1453
593,983,1464
558,562,585
628,1111,1455
572,1154,1784
581,858,989
664,579,554
1233,583,1017
679,1253,574
577,1013,638
1258,591,567
