Size 1, Size 4, Size 8
186,228,154
148,262,180
219,149,169
263,243,266
141,246,150
156,216,315
160,245,183
175,295,252
169,265,193
166,217,183
237,178,160
249,152,168
200,267,239
230,188,154
164,164,196
302,166,167
188,171,168
164,174,149
232,159,200
146,161,161
164,170,162
160,190,160
161,163,174
156,159,205
200,213,155
155,199,144
178,153,160
202,264,133
157,158,157
225,164,170
156,165,160
162,164,164
160,166,163
158,162,183
174,162,167
203,236,179
186,160,176
235,157,187
149,227,145
210,161,168
189,173,177
149,219,191
213,156,210
157,155,218
121,154,152
147,163,159
152,132,158
171,136,157
157,156,159
167,166,148
159,157,203
157,159,173
158,152,167
157,164,143
145,161,158
154,160,158
207,137,145
162,164,158
134,208,149
167,163,157
160,199,198
120,158,155
165,161,166
154,165,152
192,153,145
163,207,145
171,164,164
126,166,170
170,206,215
165,201,150
158,159,215
158,183,163
161,134,198
152,165,146
151,159,137
206,222,166
143,213,163
249,149,224
170,163,192
253,186,167
221,178,154
163,166,159
165,162,160
155,168,170
174,187,222
149,159,140
166,155,257
156,228,202
147,165,155
148,169,153
158,173,104
206,161,162
157,173,185
186,148,146
183,161,169
162,166,168
154,229,210
140,200,152
160,203,158
154,164,194
