Size 1, Size 4, Size 8
226,357,289
402,206,366
394,302,321
397,222,304
450,316,237
328,219,209
351,265,209
294,265,231
224,307,308
225,286,341
367,226,296
204,182,274
232,350,200
215,255,329
317,316,288
307,291,233
202,347,205
201,233,315
191,212,191
205,302,188
254,194,198
249,213,279
205,196,210
170,188,228
208,191,313
276,208,311
191,202,209
202,292,196
202,322,206
199,200,192
192,213,185
182,217,289
227,202,292
202,203,271
256,291,196
214,319,187
180,244,287
342,262,283
399,228,185
224,197,264
204,333,192
308,200,210
272,268,226
229,215,269
314,349,189
297,304,330
219,311,195
206,190,204
189,327,271
201,293,349
266,327,354
314,210,200
282,268,166
207,215,348
361,197,213
287,200,206
209,180,201
218,195,209
205,308,194
208,182,224
198,203,318
276,188,286
193,212,242
190,254,200
286,201,261
208,218,194
198,258,186
292,246,186
181,175,196
327,240,227
257,258,187
208,228,282
204,297,204
209,366,211
199,194,284
295,280,268
320,330,208
197,334,274
210,314,226
212,311,223
251,349,189
207,267,301
228,191,278
242,318,278
184,375,306
231,325,218
285,221,255
183,251,193
209,317,349
205,199,304
266,261,203
247,220,302
185,203,198
188,316,292
210,252,296
214,212,302
246,275,193
211,249,288
231,281,287
326,390,200
