Size 1, Size 4, Size 8
266,246,239
244,185,314
274,265,221
225,191,265
200,310,226
220,336,267
415,195,198
219,196,206
274,320,194
339,214,209
404,249,215
193,207,329
284,207,295
212,193,195
214,296,254
292,315,284
282,258,197
326,205,245
385,203,270
218,273,315
210,204,365
211,818,309
316,284,297
260,376,221
265,187,208
289,171,295
220,353,265
191,178,200
221,195,211
351,228,264
186,215,193
195,205,201
215,181,174
207,189,187
186,212,292
193,190,209
203,272,166
173,208,323
197,217,274
213,192,293
202,276,186
196,297,208
279,193,337
190,255,211
300,219,227
230,264,351
221,276,313
262,198,230
215,191,332
264,190,200
273,180,289
210,204,188
250,187,245
195,197,362
194,199,243
251,293,200
207,236,219
237,255,363
207,201,198
219,197,179
226,263,228
274,214,286
286,256,256
313,227,299
292,221,235
215,239,218
218,308,288
299,269,280
256,211,177
171,201,187
199,327,194
192,195,211
278,166,192
182,192,190
194,181,177
320,200,186
198,320,206
230,287,315
214,293,244
363,203,269
193,199,222
210,186,200
328,200,233
201,205,294
309,177,198
185,169,176
300,170,170
292,168,189
196,210,319
306,212,208
332,205,290
341,202,288
236,237,292
177,208,222
204,246,279
308,176,198
205,336,355
295,241,186
193,226,301
202,208,286
