Size 1, Size 4, Size 8
502,516,509
1002,461,865
429,432,694
417,434,970
930,436,491
621,405,1012
584,432,527
422,612,459
454,435,421
462,487,629
451,401,416
1195,442,447
486,937,564
1031,461,770
608,378,1045
718,416,567
745,400,422
657,432,417
578,421,398
429,621,401
419,668,772
417,567,663
409,420,388
389,360,412
594,418,769
997,404,837
480,719,798
412,473,1370
401,379,570
903,423,465
732,410,420
390,395,392
418,1029,400
421,651,770
418,435,826
416,434,473
566,807,386
379,629,433
779,978,1053
471,607,631
378,745,399
422,481,430
585,425,594
426,379,753
407,595,655
419,460,414
588,396,435
1075,442,983
495,875,631
583,707,411
412,441,580
807,424,421
671,585,415
382,407,377
378,373,390
391,386,433
571,497,795
432,435,799
395,369,423
392,581,446
436,766,414
416,457,429
401,397,404
520,413,416
434,434,669
389,554,796
381,387,516
408,996,431
644,663,722
480,446,730
383,611,753
550,416,477
608,388,635
420,427,422
445,598,411
651,403,419
728,983,451
845,496,572
732,678,399
434,560,405
436,408,588
421,466,437
405,432,552
424,398,419
431,393,396
370,434,427
420,386,413
379,999,421
401,592,399
421,397,697
406,391,472
419,553,959
433,810,488
417,402,377
379,413,450
407,453,446
960,718,410
598,709,1028
432,622,782
547,445,416
