Size 1, Size 4, Size 8
221,197,214
160,140,204
231,182,164
169,201,165
158,145,135
233,140,152
221,159,169
185,148,160
168,138,163
168,201,261
173,143,223
193,152,156
157,160,152
164,147,210
166,163,251
123,152,151
156,197,153
165,174,161
163,159,161
144,137,123
121,135,113
131,146,132
138,141,125
93,131,139
90,131,124
110,120,105
134,148,138
101,142,92
133,143,96
129,115,125
126,118,132
141,90,131
93,108,147
117,92,98
127,148,154
144,118,134
152,99,104
163,176,155
170,136,149
221,230,162
195,225,196
170,269,159
167,185,236
249,218,137
159,153,221
160,219,146
146,142,121
130,175,136
174,161,161
173,231,170
198,178,242
169,171,156
170,181,162
178,159,164
145,156,147
182,157,141
188,624,676
172,140,152
150,273,276
204,173,254
242,178,207
176,171,223
188,166,161
162,206,158
171,163,176
145,154,160
164,179,157
183,162,191
167,200,139
173,215,166
164,169,165
161,170,148
161,156,242
153,149,165
155,164,163
202,167,153
153,168,161
227,147,162
191,215,156
191,152,153
200,153,159
160,167,164
168,188,162
152,246,156
167,180,148
159,216,162
219,159,171
191,176,157
157,193,161
146,213,224
163,138,161
158,204,161
160,150,140
150,183,149
166,152,163
168,156,133
205,149,147
167,147,143
174,184,154
251,156,162
