Size 1, Size 4, Size 8
169,189,210
186,277,266
210,204,188
218,188,182
196,160,143
153,152,198
230,226,185
163,303,175
223,164,142
153,133,198
193,172,288
239,234,257
139,186,146
172,197,149
190,274,209
174,239,243
190,159,198
160,169,227
159,171,160
176,227,262
161,162,151
198,148,157
161,163,170
173,167,154
227,212,241
160,177,185
237,156,160
168,151,149
180,277,204
201,159,194
177,165,239
208,155,155
162,231,167
162,153,155
204,159,197
175,157,160
201,196,171
156,159,153
158,157,186
170,185,179
183,170,163
162,159,202
184,238,289
151,154,156
135,208,157
169,162,148
186,134,188
222,169,156
203,141,140
126,152,169
186,169,171
154,159,150
144,150,181
157,157,196
172,160,225
217,212,166
163,159,280
165,148,261
161,138,152
466,193,227
235,198,180
218,158,172
199,142,167
166,152,191
200,129,152
139,218,212
203,210,209
157,159,163
170,150,167
222,200,146
206,196,157
155,160,166
167,158,159
246,157,168
160,157,204
183,154,174
168,163,167
157,145,167
230,158,161
156,171,210
164,166,156
204,163,157
157,169,162
157,163,163
156,259,201
181,161,165
199,161,156
176,253,231
260,243,153
189,173,161
155,152,162
196,148,161
161,163,228
211,160,173
232,193,213
171,151,193
163,172,157
160,148,160
125,146,127
160,136,148
