Size 1, Size 4, Size 8
489,416,353
421,726,411
424,404,419
392,439,392
447,730,466
427,374,474
445,409,440
434,376,422
427,461,390
450,424,446
657,583,450
447,1241,597
650,699,586
450,419,608
377,400,349
393,409,441
763,414,462
424,678,660
1024,612,440
465,402,408
419,425,400
450,475,462
415,445,391
418,392,408
436,395,403
422,406,458
409,422,450
484,394,435
439,415,426
710,392,402
411,372,493
426,433,431
461,431,449
758,404,432
413,789,464
435,475,396
391,440,388
369,416,730
408,405,430
380,674,426
423,448,423
379,721,416
417,399,419
404,389,387
469,1000,438
472,465,435
406,396,436
447,382,406
417,428,387
413,412,425
769,403,449
413,667,422
428,456,652
564,423,596
386,456,443
418,418,739
436,733,428
390,492,441
406,413,384
387,453,584
392,444,654
416,436,399
464,730,428
385,416,410
426,400,402
365,401,417
418,457,472
450,476,415
759,488,470
497,470,467
494,496,507
485,451,504
492,455,464
407,744,423
435,451,456
439,430,383
708,365,434
383,638,377
455,422,448
397,426,404
382,377,738
699,387,469
459,446,407
421,377,422
405,404,401
461,430,413
377,445,383
443,437,767
464,610,427
437,631,457
430,418,698
431,448,690
416,399,366
355,382,428
702,447,401
400,448,424
412,367,377
366,412,418
393,776,442
399,413,420
