Encrypt, Decrypt
102913,3
100447,3
100220,3
98418,2
98728,2
98332,2
98447,2
98389,2
98414,1
98224,2
98763,3
99809,3
99644,3
100134,3
99738,3
99862,3
99920,2
99422,2
100905,3
99223,3
99370,3
99133,3
99419,4
98784,3
98165,3
97969,2
97826,2
98692,3
99181,3
99201,3
99612,8
98819,3
98797,3
99531,3
98588,3
99185,2
99270,3
99104,2
99250,2
98863,3
99276,3
99281,3
99268,2
98971,3
98994,3
98739,3
98681,2
99025,2
100537,3
99188,3
99273,3
99387,3
97879,3
97739,2
98683,3
98984,3
98835,3
98167,3
99276,3
98815,3
98949,3
98670,2
98307,3
99244,2
99079,2
99231,3
98540,2
98366,3
99055,3
99230,3
98646,3
98557,2
98769,3
98458,2
98464,2
99172,3
98442,2
98744,3
98806,3
98543,3
99366,3
99016,3
99106,3
98934,3
99111,3
97842,3
98782,3
99168,3
99076,3
99102,3
98784,3
98647,3
98835,3
99289,3
98990,3
98415,2
99849,3
99262,3
99023,3
98844,3
