Encrypt, Decrypt
331012,6
330151,8
324663,6
322851,6
327260,6
322797,6
321192,6
319379,6
319560,6
319729,6
318248,6
318462,6
318539,6
316027,6
315790,6
318521,6
318060,6
317338,7
316298,6
317297,6
314910,10
317828,6
314604,6
315128,6
316761,6
315883,6
315935,6
315129,6
313778,6
321248,6
316500,6
318369,6
316721,6
318207,6
315457,6
314439,4
313329,6
318611,6
321374,6
322625,6
314747,6
314172,6
313221,6
313331,6
315033,6
313622,6
312925,4
313177,4
313764,6
313849,6
313809,6
315529,7
315044,6
312798,6
313568,5
312838,4
313198,6
313369,6
312508,5
313089,5
312922,4
313050,6
312764,5
312764,4
313470,6
313008,4
312777,6
313385,5
313791,6
314059,6
312896,5
312934,5
312728,4
316510,6
313091,6
312839,4
313056,4
312962,6
312810,6
313097,4
313706,6
312929,5
312874,4
312675,5
313158,4
312999,4
313009,4
313394,4
313727,6
313029,4
312978,6
313183,3
313455,6
316181,7
317671,6
314561,6
312711,6
312958,6
312707,4
312728,4
