Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
3334,2919,2824,485,479,500
3112,2917,3056,534,477,437
2974,2751,3000,414,426,428
2984,2827,2922,443,406,457
3025,3041,2703,440,409,387
2810,2970,3050,591,440,430
2767,2801,2799,425,375,423
2732,2765,2937,448,459,447
2839,2900,2691,388,490,480
2987,2728,2855,449,419,388
3148,2760,2929,437,433,417
2983,2904,2824,382,421,407
2772,2754,3061,505,455,524
2844,2944,2909,533,420,486
3595,2996,3403,495,563,522
2996,3138,2883,469,444,454
3141,4018,3040,476,456,449
3164,3231,3143,477,417,459
3011,3105,3064,527,559,575
2961,2890,5239,593,533,499
2771,2792,3078,476,444,489
2837,3105,2862,384,439,475
2609,2986,2732,453,396,391
3053,2724,2904,450,412,412
2776,2915,2934,542,512,495
2917,2875,3023,533,503,607
2799,2797,3074,509,474,469
3039,2772,2746,438,410,413
3004,2980,2914,481,489,493
3308,3206,2700,544,517,508
3033,3007,2838,418,468,413
2949,3045,2663,423,476,469
2931,2871,2971,514,496,429
3029,2945,2678,421,604,534
2699,2749,2731,486,391,427
2853,2769,3258,464,494,561
3008,2906,2811,434,420,439
2760,3038,2970,552,543,527
2669,2907,2778,457,429,629
2977,2760,2755,384,399,429
3135,2712,2732,370,448,490
2966,3031,2744,439,482,518
3006,2825,2856,504,521,529
2955,2929,2692,420,422,400
3016,2895,2910,600,532,517
2786,2915,2704,384,384,425
2877,2704,2812,414,479,488
2668,2953,2748,450,397,424
2892,3056,2803,462,421,436
3449,2992,2714,425,476,541
3032,2812,3054,488,502,511
2756,2843,2860,395,442,469
2983,2742,2919,478,482,509
2927,2722,3040,449,493,416
2794,2880,2684,429,464,455
2842,2840,3010,518,500,501
2928,2762,2777,449,402,410
2951,2891,3038,605,513,570
2672,3001,2792,418,426,475
3182,3079,2882,457,475,506
2814,2861,2835,445,456,461
2902,2914,2901,468,467,518
6577,3020,2886,475,540,468
2816,2815,2868,439,538,477
2826,2869,2860,464,480,475
2751,2818,2918,468,477,488
2799,2764,2879,437,437,452
2922,2823,2754,467,506,472
2753,2958,2803,465,518,466
2885,2842,2789,495,476,497
2800,2798,2941,472,449,465
2826,2816,2720,1651,562,520
2931,2815,2784,522,474,489
2824,2851,2807,449,475,499
3035,2806,2778,465,442,493
2837,2844,2897,464,460,532
2745,2863,2818,500,512,472
2808,2835,2735,568,504,472
2741,2758,2831,459,434,478
2795,2882,2813,483,465,488
2907,2900,2859,483,535,469
2907,2856,2882,493,469,476
2883,2922,2809,415,449,490
2899,2962,2867,492,489,491
2890,2915,2839,509,487,590
3114,2865,3073,532,508,522
2880,2858,2814,463,471,428
2904,3049,4627,712,538,504
2972,2888,3089,450,521,480
2933,3070,2898,474,519,526
2853,2867,2877,492,482,508
2874,2817,2896,461,524,446
2869,2902,2782,450,516,525
2810,3052,2891,475,513,558
2900,3000,2857,437,499,494
2990,2958,2913,520,517,515
2830,2895,3076,488,495,480
2928,2963,4065,539,436,459
3017,2897,3075,560,533,516
3015,2910,2864,512,519,462
