Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
6655,6984,6883,960,924,871
6485,6658,6674,887,949,844
6881,6703,6690,842,848,847
6767,6843,6725,883,863,889
6513,6475,6460,787,889,887
6474,6476,6628,856,831,806
6693,6746,6789,828,838,830
6729,6630,6675,776,999,3175
6736,6479,6485,871,901,877
7743,6867,6663,896,882,844
6628,6648,6837,969,809,854
6636,6555,6567,900,825,842
6530,6527,6498,786,797,868
6716,6609,6853,866,865,823
6970,6900,6564,879,817,829
6737,6886,6708,811,826,774
6458,6716,6506,820,779,830
6663,6769,6773,874,1031,1013
7101,6852,7003,834,853,992
6563,6597,6716,860,810,815
6551,6636,7045,836,813,853
6718,6727,6487,813,983,974
6744,6717,6533,826,863,826
6803,6953,6520,802,840,801
6621,6606,6697,892,1032,897
7036,8575,7255,1208,946,1036
6875,8761,7404,1152,1038,1066
7148,7104,6517,937,857,815
6794,6593,6705,818,1044,897
6666,6832,6704,830,835,831
6649,6787,7673,817,850,843
6713,6604,6548,874,871,1065
8367,6555,6517,857,864,1085
6545,6817,6519,870,827,850
6725,6635,6808,810,817,932
6709,6663,6596,873,830,836
6649,6705,6878,899,797,830
6548,6515,6734,802,891,788
6766,6649,7009,940,926,1171
6818,6876,6959,800,816,815
6720,6644,6527,899,821,850
6682,6701,6560,828,794,906
6597,6687,6789,880,818,796
6679,6487,6691,809,804,808
6654,6483,6778,819,825,815
6654,6803,6659,842,904,854
6719,6795,6547,839,786,1020
6473,6788,6802,903,866,835
6742,6885,6468,814,830,858
6533,6810,6601,900,832,822
6729,6651,6608,806,860,969
6624,6687,6611,913,861,820
6627,6630,6518,968,996,873
6579,6626,6644,856,828,832
6624,6645,6563,813,834,841
6584,7020,7461,1064,918,1097
6805,6647,6804,882,833,880
6718,6652,6656,853,836,812
6564,6820,6504,775,970,920
6681,6725,6770,843,806,878
8686,6947,6587,881,801,1031
6669,7044,6666,915,869,839
6594,6658,8166,815,830,914
6584,6532,6594,839,901,897
6484,6599,6721,835,829,878
6772,6821,6896,780,916,841
6696,6598,6494,828,881,807
6462,6623,6554,802,830,859
6593,6779,6508,834,936,849
6524,6521,6555,842,823,834
6555,6878,6576,951,947,852
6704,6518,6522,776,923,943
6524,6566,6624,885,799,868
6574,6493,6465,839,853,837
6500,6602,6848,929,958,824
6551,6795,6508,778,857,1077
6668,6548,6706,800,844,992
6619,6676,6886,975,874,858
6639,6670,6694,852,795,877
7485,6751,6575,901,814,862
6619,6608,6528,876,929,834
6539,6618,6627,850,854,867
6753,6509,6404,810,811,813
6667,6694,6558,894,900,877
6592,6637,6697,924,798,842
6685,6459,6510,878,900,975
6777,6620,6701,959,840,906
6772,6743,6752,804,904,1244
6585,6579,6622,942,952,962
6569,6883,6726,814,963,842
6625,6660,6751,800,837,885
6562,6726,6648,785,861,916
6834,6634,6541,912,904,828
6572,6702,6713,837,902,868
6544,6611,6692,804,952,906
6693,6996,6689,939,790,865
6580,6675,7362,911,845,1003
6698,6941,6652,833,823,833
7407,6797,6679,847,839,848
6665,6623,7371,964,822,828
