Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
6741,6806,7526,1059,826,997
6948,6787,6850,831,863,819
6756,6785,6628,777,810,859
6696,7221,7033,982,851,847
6793,6614,6832,833,845,876
6579,6738,6712,799,845,818
6502,6854,6788,788,926,854
6532,6722,6548,935,871,850
6534,6524,6548,875,850,845
6640,6485,6535,808,815,837
6535,6602,6611,880,936,845
6512,6571,6542,799,877,943
6707,6530,6537,834,847,826
6623,6469,6533,882,827,831
6670,6674,6500,800,874,782
6560,6519,6549,834,879,827
6633,6555,6571,902,837,976
6546,6622,6570,821,828,838
6593,6641,6447,821,837,835
6721,6416,6992,781,823,916
6596,6474,6586,802,821,872
6604,6873,6850,832,855,943
6810,6555,6788,844,832,934
6563,6562,6537,829,900,874
6825,6515,6584,829,976,826
6631,6544,6573,862,857,912
6641,6556,6655,938,882,848
6750,7283,6546,830,971,1002
6779,6949,6570,858,962,884
6686,6506,6827,842,805,937
6876,6636,6490,945,819,855
6525,6661,6559,847,782,848
6814,6686,6496,855,936,923
6956,6614,6776,862,883,824
6612,6716,6597,826,848,825
6608,6889,7031,908,1052,994
7070,6938,6878,843,862,835
6961,7187,6925,949,1041,1055
6969,7025,8990,818,1185,900
7305,7040,7110,866,1161,848
6511,6813,7145,817,726,835
6721,7005,6782,841,881,847
7295,6834,7004,952,908,974
17240,13526,9976,989,1806,1033
7968,7625,7256,1040,878,853
6957,6828,6865,869,866,835
6866,6946,6857,1006,1013,999
6661,6663,6971,827,924,947
6458,6893,6732,956,848,831
6904,6649,6958,891,1061,913
6753,7158,6819,864,850,887
7030,6927,6800,848,1027,911
6853,7304,6955,796,813,911
6689,6872,6711,786,833,894
6923,6714,7350,888,837,860
6833,6861,6699,857,838,858
7323,6684,6712,871,1041,943
6568,6790,6661,865,842,1027
6893,6902,6659,829,816,911
6752,6687,7114,902,904,950
6694,6811,7084,935,1037,847
6873,6948,6865,966,1206,1087
6803,6685,6965,782,827,816
7008,6868,6676,844,1029,972
6861,6642,7064,800,812,937
6904,6971,6812,913,782,840
7119,6781,6804,899,880,1117
6759,6859,6933,800,833,1043
6824,6931,6942,881,873,800
6951,6873,6896,858,933,910
6793,7198,6940,832,907,824
6967,6639,7132,918,1018,984
6684,6821,6913,799,849,948
6656,6951,6867,922,853,859
6809,6662,7052,835,829,879
6745,7299,6713,893,915,857
7010,6672,6702,911,1003,985
6733,7105,6916,893,940,959
6754,6673,6698,861,798,832
6974,6843,6826,955,887,827
6962,7026,6726,848,928,855
7091,6771,6746,904,908,1115
6703,6567,7056,773,798,875
6859,6915,6669,817,899,916
6717,6636,7029,917,857,997
6617,6802,6917,951,857,986
7294,6864,6888,877,968,1102
6744,6826,6646,816,802,972
6640,7015,6905,868,885,838
6989,6665,6915,1112,1008,848
6739,7312,6645,916,846,867
7036,6764,6755,922,944,968
6609,6746,7104,794,811,1014
6910,6942,6687,812,955,859
6762,6959,6775,842,1102,875
6658,6919,6593,800,903,880
7266,6788,6684,900,887,984
6857,6965,6779,841,849,905
6813,6968,6842,861,841,786
6840,6714,6941,944,928,873
