Encrypt Size 1, Encrypt Size 5, Encrypt Size 10, Decrypt Size 1, Decrypt Size 5, Decrypt Size 10
9540,9135,9160,1256,986,1087
9208,9512,8713,1189,1048,1129
8704,8994,9129,1006,1128,1023
8680,8934,8798,1055,1089,979
8764,8732,8571,986,1018,950
8700,8707,8906,1012,985,1018
8718,8536,8492,1093,1081,1045
8743,8533,8822,1047,1098,1004
8817,8504,8425,938,995,937
8665,8719,8554,982,1066,1134
8873,8798,8768,1106,1028,1049
8497,8487,8746,944,994,975
8676,8484,8470,961,976,1007
8497,8463,8540,1083,1008,1056
8558,8694,8765,1020,1061,1009
8892,8546,8630,1059,995,1024
8630,8599,8762,967,1011,991
8579,9056,8635,1029,1026,1089
8817,8896,8449,949,1005,970
8569,8615,8575,999,928,1049
8942,8811,8567,946,1000,984
8491,8657,8952,959,960,985
8637,8604,8612,964,964,1005
8682,8593,8739,950,1078,974
8557,8876,8661,1105,982,1035
8715,8969,8833,1092,1092,1040
8803,9009,8725,1068,998,1004
8601,8619,8457,965,940,995
8691,8653,8504,1206,1003,996
8562,8510,8678,1004,1097,1017
8614,8606,8578,981,1007,1007
8729,8570,8644,929,1045,1020
8493,8506,8661,972,1088,1036
8535,8688,8775,951,978,1054
8759,9149,8911,1172,1040,1174
8524,8645,8819,1069,1060,1010
8696,8945,8840,985,1033,1090
8704,8724,8620,1002,1092,1069
8524,8774,8591,1241,986,1048
8511,8712,9134,1023,1086,1538
9024,9078,8668,1028,1058,1114
8680,8447,8470,994,959,999
8541,8572,8548,958,955,1015
8615,8956,8640,1039,1019,1043
8674,8650,8986,955,1039,1062
8548,8891,8921,1217,1033,1043
8552,8747,8707,1066,1027,1009
8909,8580,8504,1236,1000,1199
8634,8661,8615,933,963,935
8595,9007,8908,972,1112,1073
9226,9005,8847,952,1069,1098
8592,8665,8500,1202,1040,1083
8830,9059,8689,1242,972,1054
8782,8792,8771,1112,942,1001
8740,8695,8897,1048,1018,1099
8838,8852,8707,1146,968,1006
8618,8504,8634,1081,1017,1071
8675,8846,8499,1148,1241,1053
8768,8664,8613,1018,983,1032
8645,8718,8992,1036,994,1013
8691,8816,8796,1001,965,1038
8503,8753,8968,1171,972,1075
8576,8701,9055,1036,1007,1013
8629,8565,8630,931,1188,993
8891,8816,8465,1009,945,1179
9090,8725,8627,1094,961,1022
9003,8910,8715,961,991,963
8900,8743,8857,1032,1324,1008
8833,8847,8877,980,1192,981
8755,8806,8629,989,1086,1227
8955,8793,8842,972,1024,1034
8528,8759,8754,1148,956,979
8538,8702,8881,1106,1113,1010
8489,8788,8687,1064,1024,1058
8709,8531,8977,1005,962,1097
8662,8544,8980,1170,1052,973
8851,8653,8537,1099,1005,1042
8523,8504,8591,974,1002,1206
8795,8682,8569,947,1004,993
8783,8463,8605,973,1057,1024
8727,8687,8667,1095,1153,1010
8522,8849,8960,1175,1073,1097
8914,8767,8726,1018,952,1024
8649,8630,8678,966,1032,1051
8690,8551,8562,966,979,993
8858,8560,8634,1123,1008,1025
9250,8700,8951,1203,1145,1049
8824,8756,8779,915,987,1034
8740,8585,8707,1025,1003,1061
8554,8852,8585,1069,1158,971
8754,8950,8858,1170,961,991
8886,8484,8887,1147,968,1055
9027,8622,8910,1153,1237,1076
8532,8888,8718,975,992,1076
8797,8856,8694,992,1092,990
8784,8813,8543,1123,946,998
8874,8706,9227,1175,996,963
8667,8965,8810,1003,987,1098
8625,8504,8941,948,939,1273
8622,8617,8619,1139,1023,1089
