Multiplication times two,Division by two,Relinearization
11184,6456,3451
11367,6538,3112
10410,7784,3014
9468,6829,3404
9673,6420,3435
10387,6663,3217
10015,7257,3383
11108,7501,3506
9665,6732,4391
10489,7407,3817
11018,6539,3501
10148,6710,3276
10551,6741,3322
10541,6603,3313
9957,7225,3276
9809,6225,3507
9978,6617,3232
9530,7883,3523
10454,11477,3367
11062,7603,3673
11143,7939,3405
9924,7250,3255
10238,6491,3801
10131,6756,3214
10044,6210,3041
10906,6422,3570
9829,6734,3099
10133,7244,3762
11102,6481,3137
9896,6516,3168
10449,6374,3678
10549,6329,3324
9683,7572,3034
10427,7148,3351
9908,6143,3371
12046,6644,3133
10468,7708,3386
10328,7013,3149
11476,6969,3915
10093,6366,4083
10532,6252,3576
10435,7601,3273
11154,6570,3837
10389,6449,3384
10069,7559,3950
10298,6844,3989
11254,6632,3401
9786,7603,3412
10353,6483,3404
11240,6228,3825
10118,7447,3627
10551,6641,3868
10471,6517,3813
10507,6729,3457
10671,6612,3735
11139,6646,4497
11085,7169,3592
10569,7232,3892
10600,6309,3797
10418,6696,3177
10522,8352,3821
10905,6412,3732
10340,6751,4149
10647,6841,3671
10533,6440,4118
10142,6598,3898
10280,6712,3547
11289,7399,4020
11362,6432,3577
11064,6880,3564
10975,7102,3610
10916,6729,3870
11512,6460,3447
12261,6736,3474
10760,6951,3900
11203,6617,3535
10435,6625,5563
10391,6996,4025
10487,6704,4288
10549,6496,3645
10693,6794,3591
11027,6952,3557
11501,7950,4652
12501,7128,3703
10456,7588,4005
10433,7536,3353
10183,6706,3778
10511,6512,3475
10107,6333,3754
10094,6729,3584
10365,6789,3719
10306,7088,3933
12686,7441,3851
10086,6589,3828
10231,6845,3646
10353,7625,3503
10149,6801,3457
9969,6431,3822
10187,6217,3321
10655,6847,3340
